timestamp,ax,ay,az
0,-0.8743,-0.407,0.2025
20,-0.8911,-0.4033,0.1797
40,-0.8871,-0.4548,0.1674
60,-0.9255,-0.3923,0.166
80,-0.8672,-0.4663,0.184
100,-0.8632,-0.4963,0.2047
120,-0.8765,-0.4049,0.1709
140,-0.8925,-0.3085,0.1985
160,-0.9476,-0.2495,0.2266
180,-0.9304,-0.297,0.2024
200,-0.882,-0.325,0.1743
220,-0.9397,-0.347,0.2098
240,-0.9235,-0.3636,0.1779
260,-0.9189,-0.3783,0.1842
280,-0.8967,-0.3717,0.1544
300,-0.9254,-0.3348,0.1307
320,-0.9303,-0.4037,0.1566
340,-0.8856,-0.4058,0.1512
360,-0.8792,-0.4209,0.1914
380,-0.9236,-0.4023,0.1858
400,-0.8837,-0.417,0.1813
420,-0.8846,-0.417,0.1914
440,-0.8594,-0.4199,0.2275
460,-0.9073,-0.3621,0.2021
480,-0.918,-0.3748,0.1986
500,-0.8733,-0.4174,0.1855
520,-0.8396,-0.4308,0.2336
540,-0.8685,-0.4147,0.2314
560,-0.8546,-0.4438,0.2356
580,-0.8029,-0.478,0.2782
600,-0.8245,-0.4869,0.2842
620,-0.8633,-0.4299,0.3206
640,-0.8601,-0.4515,0.3351
660,-0.8551,-0.4086,0.3153
680,-0.8262,-0.4104,0.2925
700,-0.8016,-0.3956,0.3197
720,-0.8064,-0.4241,0.3834
740,-0.8593,-0.3237,0.3857
760,-0.8418,-0.2568,0.4569
780,-0.8563,-0.2235,0.4465
800,-0.9377,-0.0942,0.4729
820,-0.9559,-0.1021,0.4708
840,-0.8634,-0.1078,0.4196
860,-0.7981,-0.118,0.4548
880,-0.8215,-0.1119,0.4294
900,-0.8439,-0.1421,0.4673
920,-0.9066,-0.1223,0.4207
940,-0.8898,-0.1891,0.441
960,-0.843,-0.2512,0.5054
980,-0.7921,-0.2911,0.4233
1000,-0.9126,-0.2729,0.4406
1020,-0.9192,-0.2106,0.3506
1040,-0.905,-0.2915,0.36
1060,-0.8225,-0.38,0.3367
1080,-0.78,-0.4056,0.3612
1100,-0.9828,-0.3049,0.2961
1120,-0.9011,-0.2792,0.2445
1140,-0.8993,-0.298,0.2747
1160,-0.8966,-0.3168,0.249
1180,-0.8922,-0.3292,0.2363
1200,-0.8801,-0.363,0.2556
1220,-0.8873,-0.3558,0.2539
1240,-0.9042,-0.339,0.2628
1260,-0.9365,-0.3403,0.2607
1280,-0.8878,-0.3635,0.2322
1300,-0.8805,-0.3834,0.2167
1320,-0.8856,-0.3951,0.2401
1340,-0.8895,-0.4008,0.2096
1360,-0.8673,-0.4398,0.2542
1380,-0.8484,-0.4507,0.3
1400,-0.8943,-0.3531,0.2366
1420,-0.9436,-0.3279,0.2075
1440,-0.9363,-0.3176,0.1932
1460,-0.9159,-0.3319,0.2087
1480,-0.9353,-0.3031,0.1959
1500,-0.9232,-0.3035,0.1885
1520,-0.905,-0.3344,0.1982
1540,-0.8356,-0.3612,0.1691
1560,-0.8423,-0.3439,0.2461
