timestamp,ax,ay,az
0,-0.4307,0.7838,0.4258
20,-0.4301,0.7842,0.4241
40,-0.4304,0.7841,0.4261
60,-0.4308,0.7821,0.4257
80,-0.4319,0.7847,0.4264
100,-0.4313,0.7831,0.4266
120,-0.431,0.7833,0.4252
140,-0.4298,0.7804,0.4232
160,-0.4301,0.7852,0.4252
180,-0.4342,0.7819,0.4259
200,-0.4315,0.7823,0.4252
220,-0.4331,0.7828,0.4268
240,-0.4294,0.7822,0.4264
260,-0.4315,0.7814,0.4246
280,-0.4314,0.7815,0.4288
300,-0.422,0.7797,0.4268
320,-0.4457,0.7842,0.427
340,-0.4403,0.786,0.4113
360,-0.4512,0.7822,0.4178
380,-0.4305,0.7817,0.4286
400,-0.4176,0.7791,0.439
420,-0.434,0.7758,0.4315
440,-0.4397,0.7828,0.4213
460,-0.4454,0.776,0.4249
480,-0.4395,0.7791,0.433
500,-0.4182,0.7737,0.4429
520,-0.4075,0.7756,0.4464
540,-0.4119,0.7776,0.4456
560,-0.4242,0.7823,0.4365
580,-0.4215,0.7848,0.4279
600,-0.4336,0.7855,0.4316
620,-0.4268,0.7814,0.4348
640,-0.4218,0.7823,0.4358
660,-0.4183,0.7817,0.4382
680,-0.4196,0.7811,0.4395
700,-0.4192,0.7795,0.4384
720,-0.4241,0.7798,0.4388
740,-0.4221,0.7802,0.4376
760,-0.4197,0.7805,0.439
780,-0.4177,0.7838,0.4337
800,-0.415,0.7841,0.4343
820,-0.4193,0.7863,0.436
840,-0.424,0.7822,0.4335
860,-0.4204,0.7845,0.4351
880,-0.42,0.7812,0.4346
900,-0.4154,0.7852,0.4364
920,-0.418,0.787,0.4365
940,-0.4154,0.7804,0.4357
960,-0.4254,0.7781,0.4414
980,-0.4211,0.7826,0.4338
1000,-0.4236,0.7841,0.4343
1020,-0.4263,0.7822,0.4338
1040,-0.4214,0.7854,0.4288
1060,-0.4205,0.7875,0.4316
1080,-0.4255,0.786,0.4325
1100,-0.4198,0.7836,0.4347
1120,-0.4142,0.7867,0.4349
1140,-0.4197,0.7843,0.4359
1160,-0.4197,0.7864,0.4292
1180,-0.4261,0.7825,0.426
1200,-0.4325,0.7814,0.4342
1220,-0.4255,0.7816,0.4354
1240,-0.4216,0.7811,0.4333
1260,-0.4231,0.7859,0.4293
1280,-0.428,0.781,0.4279
1300,-0.4308,0.7804,0.4281
1320,-0.4259,0.7853,0.4294
1340,-0.4237,0.785,0.4272
1360,-0.4283,0.7833,0.4286
1380,-0.4302,0.7793,0.4297
1400,-0.4294,0.7805,0.429
1420,-0.4303,0.7804,0.4325
1440,-0.4277,0.7841,0.4281
1460,-0.4259,0.7855,0.4243
