timestamp,ax,ay,az
0,-0.7729,0.3274,0.5277
20,-0.7665,0.3289,0.519
40,-0.7596,0.3308,0.5248
60,-0.7573,0.3179,0.5286
80,-0.7628,0.312,0.5353
100,-0.7653,0.3081,0.5385
120,-0.7739,0.3193,0.5249
140,-0.7676,0.3169,0.5276
160,-0.7722,0.3127,0.536
180,-0.7689,0.3164,0.5283
200,-0.7701,0.3143,0.5288
220,-0.7688,0.3184,0.5238
240,-0.77,0.314,0.5245
260,-0.7721,0.3154,0.5259
280,-0.7698,0.3109,0.5272
300,-0.7794,0.3119,0.5219
320,-0.7784,0.3099,0.5262
340,-0.7655,0.309,0.527
360,-0.7756,0.3035,0.5305
380,-0.7695,0.2977,0.5271
400,-0.7765,0.2876,0.5334
420,-0.7743,0.2905,0.5374
440,-0.7754,0.2858,0.5353
460,-0.777,0.2775,0.5413
480,-0.767,0.2738,0.5455
500,-0.7732,0.2661,0.5465
520,-0.7623,0.2587,0.551
540,-0.7825,0.2473,0.556
560,-0.7882,0.2418,0.5427
580,-0.781,0.2327,0.5443
600,-0.7784,0.2231,0.547
620,-0.7859,0.2236,0.5536
640,-0.7837,0.2028,0.5712
660,-0.7878,0.2031,0.5455
680,-0.7811,0.1997,0.5553
700,-0.8046,0.1886,0.5236
720,-0.7935,0.1577,0.5592
740,-0.8125,0.1555,0.5676
760,-0.7981,0.1406,0.5483
780,-0.7766,0.1462,0.5443
800,-0.809,0.1476,0.5348
820,-0.7844,0.1504,0.5505
840,-0.8049,0.1428,0.5571
860,-0.7977,0.1361,0.5385
880,-0.8152,0.1298,0.5433
900,-0.8091,0.1228,0.5531
920,-0.8048,0.1278,0.5455
940,-0.8054,0.14,0.5464
960,-0.8014,0.1361,0.5479
980,-0.8197,0.1401,0.5446
1000,-0.8248,0.1539,0.5289
1020,-0.8098,0.145,0.5328
1040,-0.8004,0.1384,0.5433
1060,-0.8162,0.1421,0.5319
1080,-0.8187,0.1353,0.5348
1100,-0.8093,0.1344,0.535
1120,-0.8121,0.1483,0.5299
1140,-0.8093,0.1559,0.5327
1160,-0.8125,0.1505,0.5413
1180,-0.8085,0.1458,0.5306
1200,-0.8186,0.1542,0.5306
1220,-0.8177,0.166,0.5347
1240,-0.7924,0.1674,0.5328
1260,-0.8025,0.1735,0.5236
1280,-0.8002,0.1758,0.5273
1300,-0.812,0.1862,0.5298
1320,-0.8203,0.1799,0.5116
1340,-0.8254,0.1709,0.5143
1360,-0.8287,0.1669,0.524
1380,-0.8204,0.175,0.5137
1400,-0.8324,0.1908,0.5076
1420,-0.8265,0.1931,0.5018
1440,-0.8085,0.2085,0.5044
1460,-0.8035,0.2294,0.511
1480,-0.7893,0.2091,0.5248
1500,-0.8065,0.2347,0.5182
1520,-0.7996,0.25,0.5089
1540,-0.8057,0.2739,0.5138
1560,-0.8063,0.29,0.4983
1580,-0.783,0.2797,0.5023
1600,-0.7848,0.2482,0.5542
1620,-0.7988,0.2578,0.5267
1640,-0.7816,0.2996,0.5111
1660,-0.8032,0.3092,0.5005
1680,-0.7693,0.3118,0.5013
1700,-0.7947,0.3077,0.5127
1720,-0.7932,0.2947,0.4969
1740,-0.8248,0.2577,0.5238
1760,-0.7961,0.2664,0.5265
1780,-0.7748,0.266,0.5111
1800,-0.8132,0.3043,0.4703
1820,-0.8899,0.3571,0.5966
1840,-0.8033,0.34,0.5076
1860,-0.5806,0.2434,0.5623
1880,-0.7742,0.2733,0.4824
1900,-0.826,0.3341,0.4402
1920,-0.8265,0.3508,0.4823
1940,-0.8574,0.3986,0.4711
1960,-0.873,0.3835,0.5338
1980,-0.9115,0.1666,0.4764
2000,-0.9274,0.0686,0.5801
2020,-1.0647,-0.0876,0.7272
2040,-0.863,-0.2545,0.6661
2060,-0.8298,-0.1962,0.5592
2080,-0.8167,-0.3081,0.5845
2100,-0.8381,-0.4066,0.5554
2120,-0.7603,-0.2709,0.5204
2140,-0.7743,-0.3142,0.568
2160,-0.7052,-0.2665,0.5101
2180,-0.8363,-0.2799,0.4584
2200,-0.6764,-0.3655,0.3602
2220,-0.7178,-0.3505,0.2678
2240,-0.7648,-0.1882,0.3248
