timestamp,ax,ay,az
0,-0.8234,0.021,0.5365
20,-0.8197,0.0211,0.538
40,-0.8219,0.0223,0.5361
60,-0.8223,0.0215,0.5382
80,-0.8197,0.0229,0.5385
100,-0.8228,0.0214,0.537
120,-0.8213,0.0204,0.5372
140,-0.8206,0.0215,0.5369
160,-0.821,0.021,0.537
180,-0.8217,0.0209,0.5359
200,-0.8215,0.0211,0.5366
220,-0.8175,0.0211,0.5359
240,-0.821,0.017,0.5367
260,-0.8235,0.0194,0.5414
280,-0.8241,0.0186,0.5376
300,-0.8213,0.0259,0.5349
320,-0.8229,0.0227,0.5403
340,-0.8181,0.0206,0.5369
360,-0.8234,0.0203,0.5383
380,-0.8164,0.0197,0.5316
400,-0.8313,0.0203,0.5349
420,-0.8273,0.0194,0.5328
440,-0.8254,0.0214,0.5352
460,-0.8134,0.0212,0.5472
480,-0.8197,0.0222,0.5424
500,-0.8204,0.0189,0.5345
520,-0.8237,0.0238,0.5389
540,-0.8252,0.0085,0.5337
560,-0.8203,0.0189,0.5359
580,-0.8126,0.0396,0.5472
600,-0.8011,0.0386,0.5588
620,-0.7966,0.0281,0.5631
640,-0.8063,0.0249,0.5551
660,-0.8138,0.0256,0.5469
680,-0.8181,0.0291,0.5455
700,-0.8192,0.0287,0.5433
720,-0.8177,0.0206,0.5399
740,-0.8153,0.0223,0.5468
760,-0.8182,0.0253,0.5479
780,-0.8153,0.0314,0.5492
800,-0.8114,0.0256,0.5509
820,-0.813,0.0248,0.551
840,-0.8092,0.0215,0.5518
860,-0.8115,0.0228,0.5507
880,-0.811,0.0308,0.551
900,-0.8074,0.0284,0.5537
920,-0.8096,0.0267,0.5531
940,-0.814,0.0226,0.5452
960,-0.8152,0.0168,0.5483
980,-0.814,0.0217,0.5483
1000,-0.813,0.0251,0.55
1020,-0.8119,0.028,0.5537
1040,-0.8121,0.0316,0.5498
1060,-0.813,0.0262,0.5514
1080,-0.8015,0.0273,0.5596
1100,-0.8074,0.0214,0.5524
1120,-0.8136,0.0178,0.5454
1140,-0.8195,0.0134,0.5446
1160,-0.8115,0.0177,0.5405
1180,-0.8168,0.0259,0.5457
1200,-0.8167,0.0306,0.5477
1220,-0.8219,0.0317,0.5414
1240,-0.8275,0.0317,0.5338
