timestamp,ax,ay,az
0,-0.8274,0.0171,0.5297
20,-0.8247,0.0176,0.5309
40,-0.8262,0.0166,0.5302
60,-0.8282,0.0145,0.5292
80,-0.8254,0.0162,0.5295
100,-0.8278,0.0156,0.5298
120,-0.827,0.0173,0.5302
140,-0.8267,0.0175,0.5303
160,-0.8279,0.0162,0.5297
180,-0.8268,0.0166,0.5305
200,-0.8273,0.0175,0.5303
220,-0.8256,0.0177,0.5306
240,-0.8269,0.0177,0.5302
260,-0.8269,0.0166,0.5315
280,-0.8265,0.0157,0.5299
300,-0.8276,0.0164,0.5309
320,-0.825,0.0171,0.5311
340,-0.8267,0.017,0.5317
360,-0.8281,0.0167,0.5328
380,-0.8268,0.0182,0.5287
400,-0.8269,0.017,0.5308
420,-0.8267,0.0175,0.5311
440,-0.8269,0.0195,0.5291
460,-0.8275,0.0195,0.5314
480,-0.8243,0.0182,0.5319
500,-0.827,0.0187,0.5305
520,-0.8257,0.0189,0.531
540,-0.8262,0.0192,0.5309
560,-0.8265,0.0187,0.5312
580,-0.827,0.0177,0.5297
600,-0.8265,0.0197,0.5315
620,-0.8251,0.0186,0.5321
640,-0.8262,0.0192,0.533
660,-0.828,0.0192,0.5304
680,-0.8245,0.0165,0.5288
700,-0.8278,0.0181,0.5331
720,-0.8273,0.0187,0.5334
740,-0.8246,0.0198,0.5295
760,-0.8275,0.0176,0.5305
780,-0.8267,0.0164,0.5297
800,-0.8248,0.0193,0.5297
820,-0.8281,0.0181,0.5325
840,-0.8248,0.0192,0.5312
860,-0.8275,0.0195,0.5309
880,-0.8275,0.0186,0.5303
900,-0.8269,0.0173,0.5297
920,-0.8258,0.0177,0.5312
940,-0.8265,0.0204,0.5306
960,-0.8276,0.019,0.5295
980,-0.8262,0.0176,0.5314
1000,-0.826,0.017,0.5316
1020,-0.8278,0.0175,0.5312
1040,-0.8273,0.019,0.531
1060,-0.8246,0.0171,0.5294
1080,-0.8278,0.0166,0.5311
1100,-0.8269,0.017,0.5323
1120,-0.8246,0.0182,0.5281
1140,-0.8279,0.0165,0.5298
1160,-0.8265,0.016,0.5315
1180,-0.8251,0.0177,0.5303
1200,-0.8275,0.0172,0.5309
1220,-0.8242,0.0168,0.5325
1240,-0.8273,0.017,0.5309
1260,-0.8275,0.0143,0.5302
1280,-0.8262,0.0153,0.5297
1300,-0.8262,0.0167,0.5293
1320,-0.8269,0.017,0.5303
1340,-0.8263,0.0166,0.53
1360,-0.828,0.017,0.5306
1380,-0.8257,0.0181,0.5284
1400,-0.8285,0.0149,0.5286
1420,-0.8254,0.0167,0.5319
1440,-0.8275,0.0164,0.5298
1460,-0.8256,0.0168,0.5287
1480,-0.828,0.0166,0.5291
1500,-0.8289,0.0151,0.5286
1520,-0.8264,0.0145,0.5298
1540,-0.8284,0.0144,0.5294
1560,-0.8258,0.017,0.5294
1580,-0.8246,0.0186,0.5302
1600,-0.8278,0.0194,0.5302
