timestamp,ax,ay,az
0,-0.4248,0.7882,0.4242
20,-0.4229,0.787,0.4235
40,-0.4243,0.7878,0.4222
60,-0.4254,0.7886,0.4222
80,-0.426,0.7882,0.4225
100,-0.4252,0.7878,0.4229
120,-0.4232,0.7886,0.4227
140,-0.4246,0.7889,0.4218
160,-0.4252,0.7878,0.4219
180,-0.4257,0.7897,0.4226
200,-0.42,0.7856,0.4193
220,-0.4279,0.7914,0.4229
240,-0.4258,0.793,0.4219
260,-0.4304,0.788,0.4166
280,-0.4377,0.7891,0.4204
300,-0.4325,0.7821,0.4171
320,-0.433,0.7864,0.422
340,-0.4366,0.7815,0.4285
360,-0.4231,0.7834,0.4243
380,-0.4229,0.7828,0.4266
400,-0.4392,0.7781,0.428
420,-0.4348,0.7812,0.4204
440,-0.4323,0.788,0.422
460,-0.4254,0.7825,0.4238
480,-0.4247,0.7831,0.4299
500,-0.4392,0.7775,0.4325
520,-0.4381,0.7798,0.4303
540,-0.431,0.7783,0.4276
560,-0.4272,0.7808,0.437
580,-0.4274,0.7787,0.4338
600,-0.428,0.7791,0.4285
620,-0.4301,0.7812,0.4288
640,-0.4324,0.782,0.4296
660,-0.4298,0.7797,0.4308
680,-0.4298,0.7789,0.4374
700,-0.4271,0.7782,0.4331
720,-0.4324,0.7826,0.4308
740,-0.4308,0.7784,0.4321
760,-0.433,0.7773,0.4354
780,-0.4294,0.7753,0.434
800,-0.4285,0.7799,0.4329
820,-0.4271,0.7816,0.4296
840,-0.4249,0.7852,0.4282
860,-0.4292,0.7815,0.4301
880,-0.4263,0.8123,0.4307
900,-0.428,0.7805,0.4347
920,-0.425,0.7826,0.4348
940,-0.4283,0.7806,0.4298
960,-0.4283,0.7804,0.4304
980,-0.4283,0.7808,0.4343
1000,-0.4299,0.7809,0.4287
1020,-0.4335,0.7804,0.4246
1040,-0.4319,0.7853,0.4227
1060,-0.4286,0.7864,0.4299
1080,-0.4235,0.782,0.4312
1100,-0.4202,0.7837,0.4313
1120,-0.426,0.7908,0.4218
1140,-0.4257,0.7928,0.4188
1160,-0.4255,0.7906,0.4213
1180,-0.4269,0.7839,0.4246
1200,-0.4309,0.7863,0.4261
1220,-0.4296,0.7854,0.4224
1240,-0.4268,0.7881,0.4191
1260,-0.4277,0.7892,0.4219
1280,-0.4285,0.7839,0.4185
1300,-0.4301,0.7833,0.4241
1320,-0.426,0.785,0.4264
1340,-0.4233,0.7886,0.4207
1360,-0.4292,0.7883,0.4193
1380,-0.4323,0.7878,0.4197
1400,-0.4342,0.7833,0.4192
1420,-0.433,0.7848,0.4237
1440,-0.4294,0.7849,0.4208
1460,-0.429,0.7849,0.4232
1480,-0.429,0.7843,0.4229
1500,-0.4305,0.7863,0.4211
1520,-0.432,0.7816,0.4225
1540,-0.4318,0.7865,0.4236
1560,-0.4302,0.785,0.4225
1580,-0.4288,0.7843,0.422
1600,-0.4321,0.7843,0.4242
1620,-0.4318,0.7827,0.4254
1640,-0.4308,0.7826,0.4244
1660,-0.4296,0.7855,0.4242
1680,-0.4288,0.785,0.4229
1700,-0.4312,0.785,0.4254
1720,-0.4301,0.7837,0.424
1740,-0.4305,0.7844,0.4252
1760,-0.4302,0.7844,0.4236
1780,-0.4315,0.7826,0.4229
1800,-0.4308,0.7848,0.4233
1820,-0.4314,0.7859,0.4241
1840,-0.4307,0.7853,0.4229
1860,-0.4319,0.783,0.4233
1880,-0.4301,0.7833,0.4237
1900,-0.4302,0.7847,0.4229
1920,-0.4313,0.7849,0.4236
1940,-0.4291,0.7842,0.4241
1960,-0.4303,0.7864,0.4225
1980,-0.4293,0.7848,0.4232
2000,-0.4276,0.7848,0.4235
2020,-0.4296,0.7853,0.4246
2040,-0.4308,0.7828,0.4232
2060,-0.4292,0.7845,0.4238
2080,-0.4288,0.7849,0.4222
2100,-0.4293,0.7856,0.4235
2120,-0.4297,0.7856,0.4222
2140,-0.4305,0.785,0.4236
2160,-0.4297,0.7848,0.4257
2180,-0.4298,0.7859,0.424
2200,-0.4275,0.7838,0.4214
2220,-0.4296,0.7856,0.423
2240,-0.431,0.7838,0.4227
2260,-0.4282,0.7838,0.4237
2280,-0.4304,0.786,0.4257
2300,-0.4261,0.7849,0.4237
2320,-0.427,0.7859,0.4237
2340,-0.4303,0.7861,0.4222
2360,-0.4302,0.7855,0.4243
2380,-0.4297,0.7843,0.4248
2400,-0.4292,0.7854,0.4233
2420,-0.4281,0.785,0.4226
2440,-0.4299,0.7855,0.4241
2460,-0.4291,0.7842,0.4238
2480,-0.4293,0.7859,0.4241
2500,-0.4296,0.7861,0.4247
2520,-0.4281,0.785,0.4237
2540,-0.4285,0.7831,0.4233
2560,-0.4281,0.7859,0.4242
2580,-0.4305,0.7856,0.4232
2600,-0.4279,0.7844,0.4243
2620,-0.4308,0.7855,0.4252
2640,-0.4276,0.7854,0.4233
2660,-0.4287,0.7841,0.4237
2680,-0.4312,0.7853,0.424
2700,-0.4304,0.7828,0.424
2720,-0.4309,0.7837,0.4233
2740,-0.4297,0.7836,0.4247
2760,-0.4291,0.785,0.424
2780,-0.4297,0.7841,0.4246
2800,-0.4309,0.783,0.4248
2820,-0.4316,0.7831,0.426
2840,-0.4331,0.7834,0.4261
2860,-0.4307,0.7841,0.4258
2880,-0.4302,0.782,0.4229
2900,-0.4314,0.7854,0.4249
2920,-0.4326,0.7826,0.4248
2940,-0.4301,0.7826,0.4252
2960,-0.432,0.7841,0.4257
2980,-0.4298,0.7847,0.4233
3000,-0.4298,0.7838,0.4244
3020,-0.4308,0.7845,0.4252
3040,-0.4307,0.7831,0.4247
3060,-0.4321,0.7844,0.424
3080,-0.4309,0.7838,0.4235
3100,-0.4302,0.7832,0.4257
3120,-0.4309,0.7839,0.4235
3140,-0.4307,0.7831,0.4227
3160,-0.4325,0.7842,0.4253
3180,-0.431,0.7859,0.4259
3200,-0.4281,0.7822,0.4227
3220,-0.433,0.7849,0.4242
3240,-0.4299,0.7839,0.4248
3260,-0.4287,0.7826,0.4235
3280,-0.4297,0.7847,0.426
3300,-0.4283,0.7848,0.4237
3320,-0.4293,0.7855,0.4242
3340,-0.4302,0.7843,0.4244
3360,-0.4291,0.7848,0.4242
3380,-0.4301,0.7843,0.4235
3400,-0.4298,0.7849,0.4232
3420,-0.4297,0.7834,0.4255
3440,-0.431,0.7853,0.4241
3460,-0.4298,0.7853,0.4226
3480,-0.4312,0.7836,0.4227
3500,-0.4299,0.7859,0.4248
3520,-0.4298,0.7852,0.4254
3540,-0.4274,0.7838,0.4215
3560,-0.4308,0.7853,0.423
3580,-0.4305,0.7849,0.4241
3600,-0.428,0.7834,0.4227
3620,-0.4294,0.7864,0.4253
3640,-0.4271,0.7849,0.4232
3660,-0.4281,0.7858,0.4252
3680,-0.4294,0.7839,0.423
3700,-0.431,0.7843,0.4232
3720,-0.4299,0.7845,0.424
3740,-0.4294,0.7852,0.4232
3760,-0.4299,0.7847,0.4236
3780,-0.4305,0.7849,0.424
3800,-0.4307,0.7834,0.4246
3820,-0.4316,0.7856,0.4249
3840,-0.4303,0.7832,0.4237
3860,-0.4312,0.7844,0.4238
3880,-0.4293,0.783,0.4238
3900,-0.4318,0.7844,0.4241
3920,-0.4318,0.7834,0.4247
3940,-0.4304,0.7831,0.4236
3960,-0.433,0.7828,0.4248
3980,-0.4309,0.7848,0.4235
4000,-0.4292,0.7831,0.4241
4020,-0.4312,0.7845,0.4231
4040,-0.4308,0.7837,0.4243
4060,-0.4329,0.7827,0.4255
4080,-0.4303,0.7831,0.4257
4100,-0.4307,0.7848,0.4235
4120,-0.432,0.7852,0.4236
4140,-0.4313,0.7843,0.4231
4160,-0.4314,0.7817,0.4225
4180,-0.4327,0.7834,0.4243
4200,-0.4313,0.7856,0.4258
4220,-0.4294,0.7832,0.4225
4240,-0.4307,0.7842,0.4233
4260,-0.4304,0.7847,0.424
4280,-0.4326,0.7832,0.4231
4300,-0.4299,0.785,0.4258
4320,-0.4291,0.7843,0.4237
4340,-0.4296,0.7841,0.4244
4360,-0.4303,0.7834,0.4243
4380,-0.4308,0.7838,0.4246
4400,-0.4301,0.785,0.4227
4420,-0.4299,0.7844,0.4236
4440,-0.4296,0.7832,0.4237
4460,-0.4301,0.7842,0.4248
4480,-0.4307,0.7856,0.4237
4500,-0.4294,0.7833,0.4243
4520,-0.4313,0.7855,0.4265
4540,-0.4299,0.7864,0.4253
4560,-0.4286,0.7838,0.4233
4580,-0.4297,0.7853,0.4226
4600,-0.4309,0.7854,0.4233
4620,-0.4286,0.7843,0.4232
4640,-0.4309,0.7856,0.4248
4660,-0.428,0.785,0.4257
4680,-0.4285,0.7836,0.4218
4700,-0.4301,0.7848,0.4241
4720,-0.4294,0.785,0.4244
4740,-0.4293,0.7855,0.4231
4760,-0.4297,0.7849,0.4238
4780,-0.4308,0.7825,0.4226
4800,-0.4299,0.7849,0.424
4820,-0.4302,0.7836,0.4235
4840,-0.4304,0.7858,0.4246
4860,-0.4299,0.7819,0.4231
4880,-0.4312,0.7826,0.4243
4900,-0.4293,0.7855,0.4255
4920,-0.4296,0.785,0.4247
4940,-0.4327,0.7834,0.4254
4960,-0.4304,0.783,0.4231
4980,-0.433,0.7839,0.4248
5000,-0.4305,0.7847,0.4237
5020,-0.4297,0.7839,0.4247
5040,-0.432,0.7843,0.4249
5060,-0.431,0.7821,0.4257
5080,-0.4336,0.7821,0.4248
5100,-0.4313,0.7826,0.4233
5120,-0.4297,0.7831,0.4242
5140,-0.433,0.7828,0.4253
5160,-0.4327,0.7833,0.4258
5180,-0.4307,0.7837,0.4229
5200,-0.4335,0.7838,0.4264
5220,-0.4312,0.7847,0.426
5240,-0.4292,0.7817,0.4225
5260,-0.4308,0.7839,0.4241
5280,-0.4336,0.7831,0.4254
5300,-0.4312,0.7821,0.4252
5320,-0.4302,0.7852,0.4246
5340,-0.4296,0.7847,0.4229
5360,-0.4302,0.7839,0.4235
5380,-0.431,0.7838,0.4248
5400,-0.4309,0.7832,0.4248
5420,-0.4302,0.7849,0.4255
5440,-0.4303,0.7845,0.4238
5460,-0.4301,0.7848,0.4254
5480,-0.4301,0.785,0.425
5500,-0.4315,0.7853,0.4231
5520,-0.4297,0.7812,0.4229
5540,-0.4315,0.7848,0.4246
5560,-0.4296,0.7853,0.4259
5580,-0.4281,0.7847,0.4226
5600,-0.4324,0.7845,0.4233
5620,-0.4321,0.7836,0.4246
5640,-0.4299,0.7843,0.424
5660,-0.4285,0.7859,0.4252
5680,-0.4274,0.7843,0.4241
5700,-0.4298,0.7863,0.4235
5720,-0.4312,0.7849,0.4229
5740,-0.4304,0.7837,0.4237
5760,-0.4305,0.7854,0.4258
5780,-0.4279,0.785,0.4235
5800,-0.4305,0.7841,0.4254
5820,-0.4303,0.7837,0.423
5840,-0.4305,0.7836,0.423
5860,-0.4308,0.7855,0.4249
5880,-0.4309,0.7812,0.4242
5900,-0.4305,0.7834,0.425
5920,-0.4296,0.7856,0.4238
5940,-0.4303,0.7847,0.4244
5960,-0.4335,0.7838,0.424
5980,-0.4309,0.7819,0.4263
6000,-0.4329,0.7827,0.4229
6020,-0.4294,0.7839,0.4243
6040,-0.4308,0.7823,0.4261
6060,-0.4319,0.7842,0.4238
6080,-0.4316,0.7821,0.4255
6100,-0.4332,0.7814,0.4252
6120,-0.4331,0.7822,0.4261
6140,-0.4323,0.7821,0.4247
6160,-0.4314,0.7832,0.425
6180,-0.4301,0.7823,0.4252
6200,-0.4315,0.7825,0.425
6220,-0.4343,0.7837,0.4263
6240,-0.433,0.7833,0.4246
6260,-0.4312,0.7817,0.424
6280,-0.4308,0.7849,0.4236
6300,-0.4329,0.7823,0.425
6320,-0.4309,0.7821,0.4257
6340,-0.4327,0.7839,0.4257
6360,-0.4308,0.7836,0.4249
6380,-0.4298,0.7827,0.4232
6400,-0.4316,0.785,0.4263
6420,-0.431,0.7841,0.4235
6440,-0.4314,0.7836,0.425
6460,-0.4301,0.7833,0.4238
6480,-0.4316,0.7847,0.4248
6500,-0.4308,0.7839,0.4242
6520,-0.4307,0.785,0.4253
6540,-0.4301,0.7849,0.4244
6560,-0.4299,0.7815,0.4241
6580,-0.4312,0.7838,0.4243
6600,-0.4294,0.7848,0.4254
6620,-0.4282,0.7852,0.4244
6640,-0.4308,0.7836,0.423
6660,-0.4286,0.7831,0.4255
6680,-0.431,0.7838,0.4238
6700,-0.4285,0.7856,0.4254
6720,-0.4286,0.785,0.4237
6740,-0.4316,0.7847,0.4236
6760,-0.4296,0.7844,0.424
6780,-0.4298,0.7828,0.4254
6800,-0.4304,0.7856,0.4247
6820,-0.4292,0.785,0.4246
6840,-0.4293,0.7833,0.4244
6860,-0.4294,0.7853,0.424
6880,-0.4302,0.7827,0.4246
6900,-0.4316,0.7847,0.425
6920,-0.4303,0.7823,0.4247
6940,-0.4303,0.7838,0.4236
6960,-0.4293,0.7853,0.4263
6980,-0.4304,0.7842,0.4238
7000,-0.434,0.7836,0.4247
7020,-0.4307,0.782,0.4255
7040,-0.4337,0.7826,0.4237
7060,-0.4315,0.7843,0.4247
7080,-0.4305,0.7825,0.4248
7100,-0.432,0.7831,0.4248
7120,-0.4327,0.7821,0.4253
7140,-0.4333,0.7825,0.4253
7160,-0.4329,0.7825,0.4247
7180,-0.4323,0.7826,0.4253
7200,-0.4326,0.7823,0.4255
7220,-0.4321,0.7827,0.4243
7240,-0.431,0.7816,0.4236
7260,-0.4336,0.7836,0.4269
7280,-0.4324,0.7849,0.4258
7300,-0.4296,0.7815,0.4227
7320,-0.4318,0.7855,0.4238
7340,-0.4316,0.7819,0.4246
7360,-0.4301,0.7821,0.4243
7380,-0.4318,0.7845,0.4258
7400,-0.4303,0.7836,0.4237
7420,-0.4307,0.7833,0.4243
7440,-0.4308,0.7831,0.4258
7460,-0.4308,0.7834,0.424
7480,-0.4313,0.7837,0.4244
7500,-0.4305,0.7841,0.424
7520,-0.4304,0.7823,0.4248
7540,-0.4307,0.7839,0.4244
7560,-0.4296,0.7833,0.4246
7580,-0.4301,0.7847,0.4244
7600,-0.4303,0.7832,0.4255
7620,-0.4292,0.7841,0.4232
7640,-0.4299,0.7832,0.4233
7660,-0.4294,0.7863,0.4243
7680,-0.4316,0.7838,0.4232
7700,-0.4287,0.7833,0.4236
7720,-0.4304,0.7858,0.4241
7740,-0.4291,0.7855,0.4238
7760,-0.4277,0.7853,0.4241
7780,-0.4309,0.7855,0.4247
7800,-0.4301,0.7842,0.424
7820,-0.4299,0.7837,0.4237
7840,-0.4298,0.7856,0.4236
7860,-0.4287,0.7849,0.4242
