timestamp,ax,ay,az,label
0.008,-1.1167,-1.121,-0.6101,walking
0.010,-0.6882,-0.3895,0.2123,walking
0.011,-0.5286,-0.4557,-0.2943,walking
0.012,-0.715,-0.3948,0.1849,walking
0.014,-1.1948,-1.3894,-0.2256,walking
0.014,-0.5726,-0.5299,-0.0693,walking
0.016,-0.8286,-0.2871,-0.0598,walking
0.016,-0.812,-0.2877,-0.2051,walking
0.018,-0.6757,-0.5638,-0.1923,walking
0.018,-0.6172,-0.7207,-0.4349,walking
0.021,-0.4219,-1.1027,-0.2133,walking
0.021,-1.0178,-0.9031,-0.0999,walking
0.022,-1.069,-0.2885,-0.3071,walking
0.022,-1.5804,-0.3239,-0.02,walking
0.024,-0.8263,-0.8928,-0.429,walking
0.026,-0.2958,-0.6766,-0.0837,walking
0.027,-0.2318,-0.0105,-0.0691,walking
0.027,-0.189,-0.4441,-0.2045,walking
0.029,-0.2843,-0.4812,-0.6489,walking
0.029,-0.5077,-1.0475,-0.0817,walking
0.031,-0.9554,-1.1256,-0.969,walking
0.031,-1.8956,-0.7773,0.0096,walking
0.033,-0.5945,-0.8715,0.0127,walking
0.033,-0.4811,-0.2806,0.2424,walking
0.033,-0.9198,-1.1436,-0.2828,walking
0.037,-0.6471,-0.571,-0.0079,walking
0.037,-0.7302,-0.3813,-0.0635,walking
0.039,-0.6898,-0.5035,-0.0771,walking
0.039,-0.7322,-0.5641,-0.2081,walking
0.041,-0.613,-0.6884,-0.2678,walking
0.042,-0.6395,-0.7823,-0.2922,walking
0.043,-0.746,-0.7028,-0.3365,walking
0.043,-1.0857,-0.726,-0.2397,walking
0.045,-0.7908,-0.5977,-0.1078,walking
0.045,-1.1068,-1.1064,-0.2443,walking
0.048,-0.6455,-0.8058,-0.369,walking
0.048,-0.4355,-0.8177,0.1528,walking
0.048,-0.6378,-0.5619,0.1902,walking
0.050,-0.574,-0.3239,-0.2035,walking
0.050,-0.4489,-0.5264,-0.2313,walking
0.052,-0.283,-0.8274,-0.3678,walking
0.053,-0.4277,-0.877,-0.5712,walking
0.054,-0.3551,-0.9554,-0.7401,walking
0.054,0.0242,-0.4807,-0.0724,walking
0.056,-1.3831,-0.3147,-0.149,walking
0.056,-2.2338,-0.9656,-0.1765,walking
0.059,-0.5092,-0.9257,-0.1243,walking
0.060,-0.7583,-0.5996,0.0128,walking
0.060,-0.9351,-0.5602,-0.0784,walking
0.063,-0.6652,-0.5651,-0.1671,walking
0.064,-0.5902,-0.5641,-0.1831,walking
0.065,-0.5972,-0.6238,-0.1971,walking
0.065,-0.8289,-0.7114,-0.0739,walking
0.065,-0.9674,-0.4427,-0.1677,walking
0.065,-0.8019,-0.3459,-0.3882,walking
0.069,-0.7002,-0.7046,-0.4924,walking
0.069,-0.7302,-0.703,-0.2518,walking
0.069,-0.8192,-0.4874,-0.3119,walking
0.069,-0.8422,-0.3542,-0.3048,walking
0.069,-0.7692,-0.4172,-0.2062,walking
0.069,-0.7469,-0.6561,-0.3329,walking
0.069,-0.78,-0.5558,-0.301,walking
0.069,-0.8063,-0.6986,-0.3516,walking
0.075,-0.9095,-0.5988,-0.1045,walking
0.076,-0.7921,-0.663,-0.3301,walking
0.076,-0.6812,-0.6161,-0.0192,walking
0.076,-0.6769,-0.6097,-0.2081,walking
0.078,-0.7285,-0.6549,-0.1239,walking
0.078,-0.7148,-0.6544,-0.016,walking
0.078,-0.6223,-0.5544,-0.0455,walking
0.081,-0.6636,-0.6125,-0.2456,walking
0.081,-0.8398,-0.597,-0.2172,walking
0.083,-0.7622,-0.7759,-0.2454,walking
0.084,-0.7488,-0.8459,-0.2317,walking
0.084,-0.7437,-0.6942,-0.212,walking
0.084,-0.7483,-0.5226,-0.1138,walking
0.084,-0.8203,-0.5118,-0.1609,walking
0.088,-0.7888,-0.5883,-0.2043,walking
0.090,-0.7538,-0.7103,-0.2151,walking
0.092,-0.7083,-0.7047,-0.1981,walking
0.094,-0.7289,-0.5435,-0.2332,walking
0.094,-0.8582,-0.4408,-0.215,walking
0.094,-0.8744,-0.5048,-0.3562,walking
0.096,-0.7979,-0.4491,-0.418,walking
0.098,-0.7689,-0.4408,-0.4478,walking
0.100,-0.8376,-0.4872,-0.5247,walking
0.102,-0.699,-0.4905,-0.3707,walking
0.104,-0.736,-0.3943,-0.2262,walking
0.104,-0.6554,-0.4912,-0.2069,walking
0.106,-0.8004,-0.3049,-0.1526,walking
0.108,-0.9244,-0.3301,-0.2468,walking
0.108,-0.952,-0.5079,-0.3379,walking
0.110,-0.8945,-0.8552,-0.3285,walking
0.110,-0.7069,-0.6481,-0.2662,walking
0.110,-0.7383,-0.4545,-0.1801,walking
0.113,-0.8749,-0.348,-0.0641,walking
0.113,-0.8881,-0.5225,-0.1056,walking
0.115,-0.8014,-0.5005,-0.0521,walking
0.117,-0.8068,-0.4714,-0.0258,walking
0.117,-0.8762,-0.4252,-0.0219,walking
0.119,-0.9371,-0.5851,-0.1401,walking
0.119,-0.9058,-0.6663,-0.1868,walking
0.121,-0.8209,-0.5454,-0.1688,walking
0.122,-0.7844,-0.5006,-0.1326,walking
0.122,-0.8127,-0.5005,-0.1102,walking
0.124,-0.854,-0.5098,-0.073,walking
0.124,-0.9071,-0.4802,-0.0596,walking
0.126,-0.8628,-0.4988,-0.1146,walking
0.126,-0.8131,-0.5323,-0.1217,walking
0.128,-0.8352,-0.5421,-0.199,walking
0.130,-0.8153,-0.5635,-0.2175,walking
0.130,-0.8151,-0.5813,-0.1932,walking
