timestamp,ax,ay,az
0,-0.9091,-0.9427,0.097
20,-0.5151,-0.8319,0.2482
40,-0.9546,-0.8694,0.3893
60,-1.3917,-0.1696,0.8386
80,-0.7174,-0.1333,0.1433
100,-0.5504,-0.2804,0.1595
120,-0.5905,-0.2682,0.1339
140,-0.8452,0.0187,0.3342
160,-1.3177,-0.1426,0.4568
180,-0.9946,-0.1068,0.1312
200,-1.3055,-0.8169,0.7648
220,-0.8821,-0.5135,0.3796
240,-0.5858,-0.3126,0.1763
260,-0.8422,-0.6202,0.0758
280,-0.8746,-0.3124,0.2583
300,-0.6763,-0.4642,0.2114
320,-0.6714,-0.5532,0.1598
340,-0.8613,-0.3896,0.2189
360,-0.8021,-0.3807,0.2294
380,-0.8998,-0.3517,0.3259
400,-0.9137,-0.3397,0.1488
420,-0.9648,-0.3904,0.1486
440,-0.912,-0.7672,0.0239
460,-0.6748,-0.7675,0.2052
480,-0.9479,-0.5977,0.4381
500,-1.1396,-0.3489,0.0792
520,-0.9838,-0.2565,0.1089
540,-0.7013,-0.3397,0.3191
560,-0.5963,-0.3281,0.1271
580,-0.6465,-0.0413,0.1658
600,-0.9855,0.0099,0.421
620,-1.2302,-0.2362,0.3174
640,-0.8973,-0.006,0.1357
660,-1.3209,-1.0494,0.4628
680,-0.8066,-0.4944,0.0511
700,-0.4608,-0.3895,0.1746
720,-0.9061,-0.4639,0.2344
740,-0.9269,-0.0809,0.2216
760,-0.6208,-0.6008,0.1355
780,-0.6224,-0.6842,0.2314
800,-0.8433,-0.4662,0.1675
820,-0.8666,-0.3494,0.3002
840,-0.9462,-0.1655,0.129
860,-1.131,-0.2866,0.2192
880,-1.0778,-0.8115,0.0928
900,-0.6738,-0.699,0.2649
920,-0.8823,-0.8452,0.5016
940,-1.4562,-0.3663,0.5272
960,-0.8285,-0.2101,0.265
980,-0.5101,-0.281,0.16
1000,-0.573,-0.3268,0.1339
1020,-0.6509,-0.0497,0.2709
1040,-1.1875,-0.04,0.2709
1060,-1.2124,-0.2692,0.1021
1080,-1.5278,-0.8632,0.6697
