timestamp,ax,ay,az,label
0.002,-0.8457,-0.5619,-0.2686,walking
0.004,-0.5538,-0.4945,-0.1113,walking
0.004,-0.7471,-0.6342,-0.0649,walking
0.005,-0.6886,-0.5996,-0.2473,walking
0.006,-0.6205,-0.6757,-0.2697,walking
0.006,-0.6409,-0.8419,-0.0541,walking
0.007,-1.2848,-0.7711,-0.0563,walking
0.007,-0.9858,-0.1606,-0.3927,walking
0.008,-0.7166,-0.7841,-0.1448,walking
0.008,-0.8717,-0.9529,-0.1326,walking
0.009,-0.3416,-0.4615,-0.2472,walking
0.009,-0.4573,-0.302,-0.2058,walking
0.010,-0.2999,-0.6045,-0.3068,walking
0.011,-0.2693,-0.7136,-0.3302,walking
0.011,-0.4784,-0.9073,-0.3926,walking
0.012,-0.9115,-0.5446,-0.4047,walking
0.012,-1.3112,-0.5635,0.245,walking
0.013,-0.675,-0.5222,0.16,walking
0.013,-0.735,-0.658,0.1858,walking
0.014,-0.9491,-0.3564,-0.2273,walking
0.015,-0.7236,-0.5917,-0.1495,walking
0.015,-0.5731,-0.6451,-0.1454,walking
0.016,-0.6289,-0.7024,-0.3193,walking
0.017,-0.6849,-0.6191,-0.1914,walking
0.017,-0.6521,-0.6375,-0.2327,walking
0.019,-0.6014,-0.8311,-0.0664,walking
0.020,-0.7255,-0.6129,-0.2146,walking
0.020,-0.7452,-0.8693,-0.321,walking
0.022,-0.8951,-0.8408,-0.1846,walking
0.023,-0.9584,-0.4137,-0.1748,walking
0.025,-0.8381,-0.5388,-0.3585,walking
0.025,-0.7385,-0.8466,-0.2633,walking
0.025,-0.7209,-0.8134,-0.1304,walking
0.026,-0.4547,-0.6598,-0.2207,walking
0.027,-0.4811,-0.5077,-0.3258,walking
0.027,-0.4294,-0.6139,-0.3939,walking
0.027,-0.3755,-0.7692,-0.455,walking
0.027,-0.755,-0.8726,-0.4088,walking
0.027,-0.5358,-0.5243,-0.4485,walking
0.031,-0.76,-0.6201,-0.3995,walking
0.031,-1.13,-0.8669,-0.4875,walking
0.032,-0.4696,-0.5459,-0.2091,walking
0.033,-0.532,-0.6493,0.1143,walking
0.033,-0.9453,-0.5732,-0.1635,walking
0.033,-0.7103,-0.6564,-0.1689,walking
0.035,-0.6674,-0.7601,-0.1663,walking
0.036,-0.7085,-0.5493,-0.125,walking
0.037,-0.7004,-0.5782,-0.098,walking
0.038,-0.6437,-0.6763,-0.2463,walking
0.039,-0.7151,-0.645,-0.3149,walking
0.040,-0.7249,-0.5815,-0.2213,walking
0.041,-0.5552,-0.7224,-0.0925,walking
0.042,-0.7996,-0.9237,-0.2421,walking
0.043,-0.9741,-0.7386,-0.2936,walking
0.044,-0.59,-0.6847,-0.3372,walking
0.045,-0.5964,-0.9684,-0.3733,walking
0.046,-0.9078,-0.5366,-0.3441,walking
0.047,-0.6157,-0.5935,-0.0927,walking
0.047,-0.4481,-0.4487,-0.4165,walking
0.048,-0.4916,-0.5956,-0.5181,walking
0.050,-0.307,-0.7369,-0.463,walking
0.050,-0.8934,-0.5605,-0.2233,walking
0.051,-0.8257,-0.6832,-0.4808,walking
0.051,-0.9542,-0.3831,-0.1693,walking
0.052,-0.7449,-0.5341,-0.4755,walking
0.053,-0.9202,-0.7349,-0.4789,walking
0.053,-0.4687,-0.5656,0.0906,walking
0.054,-0.6912,-0.739,0.0044,walking
0.054,-0.8383,-0.6327,-0.1718,walking
0.055,-0.7943,-0.6804,-0.0593,walking
0.056,-0.7887,-0.6041,-0.1864,walking
0.056,-0.7769,-0.549,-0.1508,walking
0.057,-0.7577,-0.6187,-0.1237,walking
0.058,-0.8621,-0.5392,-0.1859,walking
0.059,-0.8641,-0.5497,-0.1906,walking
0.059,-0.8938,-0.5002,-0.1383,walking
0.060,-0.8845,-0.5826,-0.1284,walking
0.060,-0.8086,-0.4227,-0.1527,walking
0.061,-0.819,-0.3628,-0.12,walking
0.061,-0.9093,-0.3623,-0.4287,walking
0.062,-0.7811,-0.6031,-0.1263,walking
0.063,-0.7391,-0.5009,-0.3412,walking
0.063,-0.7347,-0.4498,-0.0719,walking
0.064,-0.911,-0.355,-0.1787,walking
0.065,-0.8093,-0.361,-0.1337,walking
0.065,-0.9681,-0.2758,-0.1775,walking
0.080,-0.9933,-0.2998,-0.1689,walking
0.133,-0.8992,-0.4163,-0.2206,walking
0.187,-0.9137,-0.5114,-0.2437,walking
0.241,-0.8885,-0.6161,-0.3097,walking
0.295,-0.7531,-0.5636,-0.0947,walking
0.349,-0.8586,-0.4349,-0.0509,walking
0.402,-0.8708,-0.4734,-0.0658,walking
0.456,-0.8273,-0.6207,-0.1478,walking
0.509,-0.6964,-0.6816,-0.1486,walking
0.562,-0.7289,-0.6156,-0.1543,walking
0.615,-0.7861,-0.6428,-0.1906,walking
0.669,-0.7557,-0.625,-0.1714,walking
0.722,-0.7297,-0.6346,-0.1749,walking
0.775,-0.7498,-0.6182,-0.1885,walking
0.829,-0.7283,-0.6589,-0.2128,walking
0.876,-0.7825,-0.686,-0.1573,walking
0.937,-0.7938,-0.5319,-0.1445,walking
0.983,-0.9541,-0.5059,-0.2147,walking
1.044,-0.7688,-0.573,-0.0692,walking
1.093,-0.9091,-0.5305,-0.3257,walking
1.151,-0.7164,-0.5872,-0.2721,walking
1.203,-0.5232,-0.5345,-0.361,walking
1.254,-0.4001,-0.4977,-0.3556,walking
1.301,-0.3564,-0.5869,-0.479,walking
1.363,-0.4208,-0.5863,-0.5713,walking
1.420,-0.7067,-0.8795,-0.6307,walking
1.473,-0.5354,-0.6472,-0.5107,walking
1.526,-0.9326,-0.803,-0.4086,walking
1.580,-0.9019,-0.5337,-0.6642,walking
1.632,-0.5067,-0.4106,0.1284,walking
1.686,-0.7979,-0.5835,-0.0005,walking
1.740,-0.8383,-0.832,-0.1235,walking
1.793,-0.7488,-0.4773,-0.2164,walking
1.842,-0.7614,-0.7548,-0.1703,walking
1.901,-0.6782,-0.5907,-0.1501,walking
1.953,-0.6403,-0.6809,-0.1052,walking
2.000,-0.7928,-0.519,-0.325,walking
2.060,-0.5974,-0.7196,-0.2157,walking
2.113,-0.6074,-0.8813,-0.3132,walking
2.159,-0.8197,-0.7915,-0.3324,walking
2.218,-0.889,-0.6876,-0.0491,walking
2.273,-1.0525,-0.434,-0.2703,walking
2.330,-1.136,-0.7334,-0.5247,walking
2.378,-0.6108,-1.0923,-0.2795,walking
2.433,-0.3704,-0.3683,-0.2197,walking
2.492,-0.4834,-0.3949,-0.1287,walking
2.545,-0.2894,-0.3937,-0.3754,walking
2.599,-0.567,-0.5237,-0.5566,walking
2.650,-1.02,-1.1018,-0.5796,walking
2.705,-0.7296,-0.4939,-0.4758,walking
2.757,-1.0195,-0.6711,-0.0006,walking
2.809,-0.4724,-0.4464,0.0804,walking
2.868,-0.6544,-0.5715,0.1053,walking
2.918,-0.9966,-0.7622,-0.5027,walking
2.971,-0.6399,-0.3896,-0.0426,walking
3.030,-0.6571,-0.4187,-0.0299,walking
3.074,-0.8436,-0.5322,-0.1501,walking
3.138,-0.6729,-0.6851,-0.3112,walking
3.186,-0.5555,-0.7399,-0.3245,walking
3.247,-0.5723,-0.8341,-0.2638,walking
3.296,-0.9324,-1.1725,-0.0768,walking
3.353,-1.0416,-0.4202,-0.345,walking
3.407,-1.3867,-0.3829,-0.0388,walking
3.459,-0.7954,-0.9185,-0.265,walking
3.507,-0.2058,-0.618,-0.1019,walking
3.568,-0.4667,-0.3624,-0.1692,walking
3.618,-0.415,-0.47,-0.3936,walking
3.674,-0.2502,-0.4702,-0.3075,walking
3.726,-0.9154,-1.3903,-0.4974,walking
3.780,-1.1749,-0.6991,-0.4965,walking
3.832,-0.7163,-0.4241,-0.2577,walking
3.887,-0.5793,-0.6007,-0.1116,walking
3.934,-0.782,-0.6263,0.271,walking
3.995,-0.702,-0.5609,-0.3457,walking
4.045,-0.5988,-0.656,-0.1417,walking
4.100,-0.6378,-0.5222,-0.1487,walking
4.155,-0.6478,-0.64,-0.2795,walking
4.205,-0.6377,-0.6304,-0.179,walking
4.259,-0.7135,-0.599,-0.2543,walking
4.315,-0.5469,-0.8127,-0.2231,walking
4.369,-0.8904,-0.9576,-0.1555,walking
4.420,-0.9347,-0.8026,-0.051,walking
4.475,-0.9948,-0.5739,-0.5144,walking
4.528,-0.9313,-0.7252,0.0056,walking
4.567,-0.6455,-0.873,-0.1387,walking
4.633,-0.6685,-0.688,0.063,walking
4.684,-0.4808,-0.3873,-0.1537,walking
4.734,-0.4089,-0.4995,-0.2272,walking
4.795,-0.101,-0.8735,-0.5199,walking
4.847,-1.2155,-0.2783,-0.0143,walking
4.901,-0.8572,-0.4889,0.0249,walking
4.954,-0.9393,-1.1683,-0.0498,walking
5.008,-0.8368,-1.1135,-0.2189,walking
5.061,-0.2767,-0.7791,0.0939,walking
5.114,-0.9095,-0.5898,0.0923,walking
5.167,-0.7939,-0.7649,-0.3364,walking
5.221,-0.6687,-0.7147,-0.0365,walking
5.273,-0.7119,-0.674,-0.0387,walking
5.329,-0.7098,-0.6549,-0.1234,walking
5.382,-0.6982,-0.6991,-0.1176,walking
5.436,-0.6354,-0.775,-0.0851,walking
5.490,-0.4501,-0.8711,-0.3496,walking
5.538,-0.8315,-1.1344,-0.2146,walking
5.597,-1.2292,-0.1633,-0.3202,walking
5.651,-1.1287,-0.7156,-0.5361,walking
5.705,-0.608,-0.9283,-0.0214,walking
5.759,-0.593,-0.5896,-0.8156,walking
5.809,-0.4331,-0.4266,-0.0704,walking
5.861,-0.3328,-0.4327,-0.418,walking
5.921,-0.2439,-0.5471,-0.4913,walking
5.971,-0.3744,-0.6833,-0.6666,walking
6.027,-0.7687,-0.9871,-0.6843,walking
6.082,-1.3801,-0.8889,-0.4923,walking
6.137,-0.8086,-0.0889,-0.2585,walking
6.190,-0.3514,-0.4965,-0.0856,walking
6.243,-0.8616,-0.6592,0.1544,walking
6.298,-0.8333,-0.7061,-0.3346,walking
6.352,-0.6044,-0.5392,-0.2015,walking
6.406,-0.766,-0.5135,-0.1973,walking
6.459,-0.743,-0.6414,-0.296,walking
6.511,-0.6316,-0.6497,-0.3387,walking
6.565,-0.5187,-0.7035,-0.3594,walking
6.619,-0.7821,-0.8591,-0.1493,walking
6.673,-1.1089,-0.5248,0.005,walking
6.726,-1.0945,-0.2341,-0.4855,walking
6.779,-0.8149,-1.2369,-0.3843,walking
6.833,-0.5673,-1.085,-0.5022,walking
6.887,-0.2321,-0.3882,-0.1656,walking
6.941,-0.3314,-0.1807,-0.0726,walking
6.993,-0.3976,-0.4036,-0.4498,walking
7.047,-0.316,-0.6823,-0.3727,walking
7.100,-0.8236,-1.2555,-0.3271,walking
7.154,-1.1666,-0.6398,-0.6945,walking
7.208,-0.9012,-0.6034,0.2161,walking
7.262,-0.432,-0.5061,-0.1089,walking
7.316,-0.7782,-0.8048,0.2487,walking
7.369,-0.9161,-0.5197,-0.3224,walking
7.423,-0.6356,-0.4501,-0.1356,walking
7.477,-0.6322,-0.4948,-0.0236,walking
7.525,-0.8176,-0.5913,-0.2526,walking
7.582,-0.5846,-0.7589,-0.2651,walking
7.635,-0.4565,-0.7968,-0.2931,walking
7.691,-0.7484,-0.9453,-0.202,walking
7.741,-1.1643,-0.7599,0.0466,walking
7.789,-1.1183,-0.3341,-0.4955,walking
7.851,-1.059,-0.4872,-0.2113,walking
7.905,-0.7715,-1.0757,-0.1666,walking
7.959,-0.3571,-0.5393,-0.0337,walking
8.013,-0.369,-0.3464,0.0044,walking
8.066,-0.1661,-0.5016,-0.2336,walking
8.120,-0.312,-0.5143,-0.6254,walking
8.173,-1.0618,-1.2397,-0.3091,walking
8.226,-1.6936,-0.7786,0.0135,walking
8.279,-0.7694,-0.3485,-0.2742,walking
8.331,-0.3763,-0.8832,0.3661,walking
8.386,-0.9053,-0.6917,-0.1255,walking
8.440,-0.8029,-0.48,-0.2804,walking
8.494,-0.7468,-0.3605,-0.0527,walking
8.548,-0.714,-0.506,-0.1132,walking
8.602,-0.7311,-0.6508,-0.3846,walking
8.654,-0.6139,-0.646,-0.2352,walking
8.705,-0.7673,-0.5139,-0.2922,walking
8.756,-0.9556,-0.4663,-0.3563,walking
8.814,-0.6949,-0.6664,-0.2242,walking
8.871,-0.2877,-1.2786,-0.5533,walking
8.925,-1.1637,-1.5283,-0.6306,walking
8.979,-0.7557,-1.0707,-0.3612,walking
9.033,-0.9564,-0.4786,0.1139,walking
9.086,-0.7639,-0.6594,-0.0048,walking
9.141,-0.719,-0.5057,-0.0593,walking
9.194,-0.746,-0.738,-0.1211,walking
9.247,-0.7316,-0.5931,-0.2654,walking
9.301,-0.6871,-0.6576,-0.4337,walking
9.355,-0.4243,-0.5541,-0.386,walking
9.409,-0.5138,-0.6857,-0.4551,walking
9.463,-0.2987,-0.7437,-0.2487,walking
9.517,-1.8246,-0.9873,0.054,walking
9.571,-1.0836,-0.1719,-1.0698,walking
9.624,-0.3781,-0.6447,0.178,walking
9.677,-0.8251,-0.4054,0.1423,walking
9.731,-0.8064,-0.2546,0.1687,walking
9.784,-0.91,-0.3859,0.0493,walking
9.837,-0.8065,-0.6877,-0.0687,walking
9.886,-0.8627,-0.5466,-0.2428,walking
9.944,-0.7986,-0.5564,-0.3726,walking
9.997,-0.6421,-0.6541,-0.4363,walking
10.050,-0.9733,-1.1016,-0.2596,walking
10.104,-0.9767,-0.5525,0.0193,walking
10.157,-1.3177,-0.2123,-0.1969,walking
10.212,-0.7909,-0.9137,-0.3446,walking
10.262,-0.6886,-0.8296,-0.1118,walking
10.318,-0.5808,-0.4348,-0.1454,walking
10.367,-0.3076,-0.2513,-0.2402,walking
10.425,-0.2172,-0.3593,-0.5244,walking
10.477,-0.3231,-0.9402,-0.6904,walking
10.534,-0.9248,-0.8075,-0.6157,walking
10.589,-1.6426,-0.5773,0.0458,walking
10.642,-0.5317,-0.5507,-0.4778,walking
10.695,-0.5262,-0.3135,0.3923,walking
10.749,-1.0222,-1.0015,-0.3519,walking
10.800,-0.5845,-0.6198,-0.1764,walking
10.850,-0.5521,-0.4816,-0.1981,walking
10.908,-0.7804,-0.5485,-0.2131,walking
10.965,-0.7167,-0.55,-0.2526,walking
11.016,-0.6775,-0.5699,-0.3906,walking
11.066,-0.5511,-0.8877,-0.3184,walking
11.117,-0.9064,-1.0604,-0.2429,walking
11.179,-1.0021,-0.5621,-0.2583,walking
11.233,-1.0775,-0.5874,-0.4487,walking
11.286,-0.7124,-0.8546,-0.2935,walking
11.338,-0.5615,-0.7805,-0.188,walking
11.384,-0.4448,-0.3958,-0.0717,walking
11.445,-0.3181,-0.3878,-0.1622,walking
11.500,-0.4207,-0.4912,-0.5193,walking
11.557,-0.6705,-1.1519,-0.4188,walking
11.609,-0.89,-0.9117,-0.9144,walking
11.653,-0.9601,-0.2313,0.2407,walking
11.717,-0.4998,-0.6477,-0.1724,walking
11.771,-0.822,-0.5829,0.1731,walking
11.816,-0.9333,-0.3766,-0.2701,walking
11.881,-0.6226,-0.6505,-0.0824,walking
11.933,-0.6343,-0.5521,-0.0399,walking
11.988,-0.8048,-0.3794,-0.174,walking
12.042,-0.6373,-0.6227,-0.3768,walking
12.086,-0.6061,-0.8342,-0.4893,walking
12.150,-0.6393,-1.0254,-0.0885,walking
12.198,-0.7828,-0.7877,-0.2375,walking
12.258,-1.0468,-0.578,-0.4919,walking
12.312,-0.9303,-1.1565,-0.4438,walking
12.364,-0.5837,-0.9615,-0.0087,walking
12.418,-0.5223,-0.4403,0.0371,walking
12.469,-0.3381,-0.3475,-0.2682,walking
12.527,-0.2328,-0.8114,-0.9305,walking
12.578,-0.1063,-1.1205,0.1859,walking
12.627,-1.1729,-0.0311,-0.73,walking
12.687,-1.0642,-0.4241,0.0883,walking
12.739,-0.8354,-0.6704,-0.4636,walking
12.795,-0.5848,-1.5353,-0.0342,walking
12.849,-0.4025,-0.9346,-0.2255,walking
12.901,-0.845,-0.5519,0.2933,walking
12.956,-0.9354,-0.5618,-0.1565,walking
13.010,-0.6433,-0.6616,-0.1094,walking
13.055,-0.5103,-0.8325,-0.2048,walking
13.117,-0.6328,-0.7462,-0.1814,walking
13.165,-0.5835,-0.7717,-0.1937,walking
13.225,-0.6244,-0.7708,-0.1799,walking
13.279,-0.5095,-0.8485,-0.249,walking
13.324,-0.4738,-0.87,-0.1498,walking
13.385,-0.9493,-0.8556,-0.0638,walking
13.433,-1.3368,-0.2069,-0.2556,walking
13.485,-0.9413,-1.1008,-1.1023,walking
13.547,-0.3964,-1.2158,-0.0623,walking
13.598,-0.7389,-0.6318,-0.4192,walking
13.655,-0.4871,-0.5109,-0.2917,walking
13.709,-0.3059,-0.4644,-0.2375,walking
13.766,-0.2136,-0.5114,-0.3348,walking
13.818,-0.0548,-0.4927,-0.6786,walking
13.869,-1.0109,-1.6483,-0.6396,walking
13.926,-0.6991,-0.9022,-0.5101,walking
13.974,-0.6736,-0.3735,-0.3473,walking
