timestamp,ax,ay,az
0,-1.3455,0.0463,-0.4297
20,-1.1876,0.2437,-0.3304
40,-0.9886,0.3146,-0.0378
60,-1.7432,0.3335,0.3298
80,-0.5697,-0.1283,0.0365
100,-0.8136,-0.0468,0.5342
120,-1.0562,0.0625,0.0417
140,-0.8462,0.0729,0.1995
160,-0.9573,0.1042,0.1647
180,-1.0304,0.1321,0.1331
200,-0.8793,0.1146,0.0668
220,-0.8571,0.1422,0.0986
240,-0.8826,-0.0459,0.1027
260,-0.9369,-0.1392,0.1898
280,-1.0881,0.0992,0.089
300,-1.1716,0.1876,0.3993
320,-1.3384,0.213,0.4542
340,-1.1091,0.3027,0.1573
360,-0.8219,0.1141,0.0901
380,-0.7354,0.0439,0.0737
400,-0.5228,0.0305,-0.0522
420,-1.433,0.2544,-0.1017
440,-1.1029,0.2515,0.2422
460,-0.7953,-0.1888,-0.2277
480,-0.9624,0.0508,-0.0085
500,-1.0596,0.0476,0.1385
520,-0.9486,0.0662,0.1331
540,-0.986,0.068,0.2131
560,-0.9633,0.1068,0.2577
580,-0.9418,0.0626,0.1377
600,-0.9928,0.0972,0.1665
620,-0.9888,0.0824,0.1221
640,-0.9875,0.0944,0.1641
660,-0.9681,0.0956,0.2112
680,-0.9642,0.094,0.2124
700,-0.9712,0.0858,0.2041
720,-0.9688,0.0944,0.1965
740,-0.9736,0.0983,0.1779
760,-0.9689,0.1068,0.1718
780,-0.9791,0.0974,0.2026
800,-0.9607,0.1045,0.2023
820,-0.9705,0.1049,0.2031
840,-0.9763,0.1002,0.2153
860,-0.9639,0.0997,0.2003
880,-0.9698,0.0948,0.1912
900,-0.9686,0.0953,0.1957
920,-0.9697,0.0997,0.2148
940,-0.9668,0.1063,0.1992
960,-0.965,0.1046,0.1848
980,-0.9694,0.1013,0.1842
1000,-0.9606,0.1017,0.1958
1020,-0.9794,0.1144,0.1676
1040,-0.9713,0.1133,0.162
1060,-0.9755,0.1084,0.1766
1080,-0.9655,0.0983,0.175
1100,-0.9584,0.073,0.1868
1120,-0.9797,0.0835,0.2015
1140,-0.9661,0.0726,0.1681
1160,-0.9512,0.0682,0.1614
1180,-0.9371,0.0564,0.1333
1200,-0.8989,0.1094,0.1721
1220,-0.9976,0.1282,0.1794
1240,-1.0779,0.1472,0.119
1260,-1.1145,0.1855,-0.2083
1280,-1.1063,0.2697,-0.0712
1300,-1.0302,0.1686,-0.1265
1320,-0.7827,0.1322,-0.1018
1340,-0.8417,0.1509,-0.2054
1360,-0.7539,0.082,-0.2427
1380,-0.953,0.2159,-0.2791
1400,-1.1781,0.1361,-0.2656
1420,-1.1178,0.2836,-0.4901
1440,-1.2897,0.1436,0.2698
1460,-0.7847,0.1459,-0.0603
1480,-0.7701,-0.0562,0.2997
1500,-1.0549,0.1249,0.402
1520,-0.8481,0.0663,0.1007
1540,-0.9116,0.09,0.1853
1560,-0.985,0.0474,0.1041
1580,-0.9557,0.0586,0.1615
1600,-0.8497,0.0112,0.302
1620,-0.9569,0.1132,0.2601
1640,-1.0254,-0.0458,0.0005
1660,-1.083,-0.0273,-0.1556
1680,-1.194,0.0226,0.1562
1700,-1.1117,0.2799,0.2406
1720,-1.2838,0.3853,0.538
1740,-1.2507,0.2622,0.0508
1760,-0.8868,0.1311,-0.064
1780,-0.7214,0.1071,0.0457
1800,-0.5668,0.0162,0.0496
1820,-0.6832,0.1201,-0.1204
1840,-1.0114,0.1785,-0.2955
1860,-1.4633,0.2361,-0.1974
1880,-0.9471,0.0853,-0.3745
1900,-1.3627,0.1019,0.2279
1920,-0.921,0.1609,0.114
1940,-0.5371,0.0255,0.176
1960,-1.2826,-0.1122,0.0784
1980,-0.9573,0.151,-0.1002
2000,-0.778,0.038,0.214
2020,-0.9355,0.0548,0.1786
2040,-0.9508,0.046,0.2123
2060,-0.8907,0.1042,0.1937
2080,-0.9481,0.124,0.1122
2100,-1.0339,-0.1077,-0.2358
2120,-1.1884,-0.2006,0.0364
2140,-1.1919,0.3088,0.465
2160,-1.1759,0.2374,0.4646
2180,-1.4342,0.3708,0.0414
2200,-0.9855,0.0099,-0.1536
2220,-0.5724,-0.0007,-0.0514
2240,-0.5602,-0.0011,0.0682
2260,-0.6594,0.1757,-0.1313
2280,-1.1122,0.0981,-0.047
2300,-1.2854,-0.0825,-0.4005
2320,-0.7474,-0.0677,-0.3425
2340,-1.8956,0.1423,0.212
2360,-0.9775,0.1578,0.4106
2380,-0.5045,0.0159,0.3713
2400,-1.3499,-0.1465,-0.0647
2420,-0.8645,0.1345,0.0068
2440,-0.8315,-0.014,0.1704
2460,-0.9342,0.0474,0.2219
2480,-0.894,0.0663,0.2056
2500,-0.9019,0.1448,0.1389
2520,-0.9673,-0.0438,-0.047
2540,-1.0734,-0.0079,-0.0765
2560,-1.2126,0.1836,0.0831
2580,-1.0898,0.1854,0.4633
2600,-1.2115,0.0771,0.2445
2620,-1.39,0.2474,-0.1401
2640,-0.9723,0.0444,-0.173
2660,-0.7307,0.1469,0.0681
2680,-0.5651,0.0372,0.0331
2700,-0.6274,0.1537,-0.072
2720,-1.1748,0.299,-0.285
2740,-1.3534,0.1309,-0.1991
2760,-0.8827,0.3208,-0.2378
2780,-1.7018,0.225,0.3042
2800,-0.6321,-0.0206,0.2037
2820,-0.6785,0.0483,0.4006
2840,-1.0359,0.1085,0.1595
2860,-0.9001,0.0553,0.1177
2880,-0.8785,0.0438,0.1853
2900,-0.9381,0.1019,0.1666
2920,-0.9114,0.1207,0.2277
2940,-0.9357,0.1421,0.0237
2960,-1.0121,-0.0297,-0.0966
2980,-1.0851,-0.0074,-0.1141
3000,-1.1908,0.0983,0.2108
3020,-1.0244,0.1702,0.3956
3040,-1.2725,0.0762,0.3778
3060,-1.2124,0.1663,-0.1422
3080,-0.6976,0.0034,-0.0831
3100,-0.5613,0.0649,-0.0437
3120,-0.6223,0.0148,-0.1385
3140,-0.7388,0.1407,-0.3422
3160,-1.4891,0.155,-0.3102
3180,-1.1338,0.0861,-0.4214
3200,-1.4897,0.4432,-0.0333
3220,-0.9531,0.2135,0.3319
3240,-0.4958,0.0751,0.2054
3260,-1.3137,-0.0199,0.067
3280,-0.8986,0.1475,-0.1099
3300,-0.7906,0.0654,0.2289
3320,-0.9429,0.0977,0.2094
3340,-0.9219,0.0972,0.1547
3360,-0.9286,0.134,-0.0239
3380,-0.9718,-0.0021,-0.098
3400,-1.1252,0.0092,-0.1658
3420,-1.3394,0.015,0.2262
3440,-0.9832,0.1754,0.5057
3460,-1.2019,0.0869,0.2251
