timestamp,ax,ay,az
0,-2.6147,0.7057,1.1809
20,-1.6085,-1.2115,0.1643
40,-0.7329,-0.7443,-0.177
60,-1.0692,0.3959,0.1605
80,-0.1411,-0.6653,-0.6514
100,0.3933,-0.5392,-0.5032
120,0.1398,-0.2423,-0.465
140,-2.5408,-1.0227,0.6819
160,-2.3939,-0.1256,-0.5728
180,-1.7944,0.498,0.137
200,-1.0353,-0.3533,-0.1406
220,-0.4021,-0.0054,-0.0327
240,0.4777,-0.0461,-0.1639
260,0.4847,0.0206,-0.0433
280,-0.2566,-0.1565,0.1798
300,-3.9995,0.0441,0.1876
320,-1.2911,-0.4902,-0.3253
340,-1.6923,-0.4215,0.0918
360,-1.5609,-0.3174,-0.0631
380,-0.5079,-0.3718,-0.1543
400,0.04,0.0304,-0.4668
420,0.1022,-0.5862,-0.1548
440,0.3645,-0.2266,-0.2125
460,-1.8154,-0.4346,-0.2227
480,-2.1899,0.1956,-0.9203
500,-2.1302,-0.1884,0.0242
520,-1.1418,-0.2588,-0.1661
540,-0.3839,0.0198,-0.1786
560,0.662,0.0242,0.1055
580,0.2273,0.0975,-0.3792
600,-0.6296,0.1036,0.4375
620,-3.3701,0.3199,0.0115
640,-1.6322,-1.17,-0.5457
660,-1.816,-0.3062,0.1129
680,-1.3876,-0.0214,0.0721
700,-0.4094,-0.2544,-0.1616
720,0.2198,-0.0981,-0.6239
740,0.3436,-0.9115,-0.028
760,0.1017,-0.233,-0.0808
780,-2.0959,-0.4425,-0.2887
800,-2.6885,1.3688,0.1829
820,-2.0487,-0.0468,-0.4135
840,-0.7426,-0.4446,-0.3693
860,0.1373,-0.197,0.0977
880,0.4945,0.3619,0.198
900,0.3453,0.0465,-0.104
920,-1.3741,0.0703,0.4244
940,-0.8567,-0.7726,-0.202
960,-1.17,-0.4381,0.0818
980,-2.3342,-0.0947,-0.3053
1000,-1.3397,-0.3143,-0.0198
1020,-0.5051,0.0835,0.03
1040,0.213,-0.0703,-0.457
1060,0.3076,-0.8345,0.33
1080,-0.2261,0.0623,-0.212
1100,-3.9995,-0.9821,-0.3813
1120,-1.5667,0.0062,-0.3093
1140,-1.559,-0.3257,-0.2142
1160,-0.9861,-0.1057,-0.1362
1180,-0.5883,0.1038,0.0155
1200,-0.4421,-0.489,-0.0577
1220,-0.1996,-0.0848,-0.636
1240,-1.4904,-0.816,0.6328
1260,-0.7946,0.1497,-0.5082
1280,-1.1068,-0.3344,-0.0718
1300,-1.3208,-0.5015,-0.084
1320,-0.8613,-0.5428,-0.2186
1340,-0.8794,-0.5004,-0.1124
1360,-0.751,-0.4346,-0.348
1380,-0.9313,-0.3013,-0.234
1400,-1.0369,-0.0804,-0.2177
1420,-0.9707,-0.3424,-0.3195
1440,-0.938,-0.2819,-0.2377
1460,-0.8419,-0.2406,-0.2026
1480,-0.9244,-0.2518,-0.2284
1500,-0.9495,-0.1949,-0.1414
1520,-0.9814,-0.1285,-0.1625
1540,-1.009,-0.1548,-0.1219
1560,-1.0217,-0.0734,-0.0952
1580,-1.0033,-0.1089,-0.0826
1600,-0.9882,-0.1525,-0.0959
1620,-0.9539,-0.1245,-0.0953
1640,-0.9873,-0.1014,-0.1075
1660,-0.9636,-0.1128,-0.0973
1680,-0.9586,-0.0983,-0.0865
1700,-0.9747,-0.109,-0.088
1720,-0.9569,-0.1255,-0.0824
1740,-0.9794,-0.127,-0.1003
1760,-1.0188,-0.1149,-0.0599
1780,-1.012,-0.052,-0.0557
1800,-0.9855,-0.0948,-0.0443
1820,-0.9672,-0.1155,-0.0725
1840,-0.9688,-0.1487,-0.0946
1860,-1.0206,-0.1184,-0.0845
1880,-1.0521,-0.0441,-0.0699
1900,-1.0067,-0.0787,-0.077
1920,-0.9843,-0.123,-0.0699
1940,-0.9592,-0.1249,-0.0854
1960,-0.9669,-0.1183,-0.1184
1980,-0.9756,-0.1068,-0.1213
2000,-0.9725,-0.0963,-0.1251
2020,-0.9703,-0.1122,-0.1392
2040,-0.9696,-0.1086,-0.141
2060,-0.9663,-0.1,-0.1458
2080,-0.9674,-0.1158,-0.1702
2100,-0.9724,-0.1174,-0.1587
2120,-0.9841,-0.1051,-0.1538
2140,-1.0051,-0.0969,-0.1451
2160,-1.0012,-0.0741,-0.1377
2180,-1.0021,-0.0824,-0.139
2200,-0.9835,-0.0958,-0.1425
2220,-0.9771,-0.1079,-0.1549
