timestamp,ax,ay,az,label
0.004,-1.4719,-0.0555,-0.1876,running
0.005,-0.7976,-0.0698,-0.2689,running
0.006,0.4521,-0.5596,-0.2175,running
0.006,0.8734,-0.3396,-0.0955,running
0.006,-2.6079,0.818,-0.0049,running
0.008,-0.5439,-0.9484,-0.1111,running
0.008,-0.5796,-0.0256,0.0557,running
0.010,-1.7263,-0.3765,0.0776,running
0.010,-1.1387,0.0942,0.2303,running
0.010,-0.7665,0.0768,0.0966,running
0.010,-0.578,-0.2114,-0.0067,running
0.012,-0.6324,0.2214,-0.0114,running
0.012,-1.3177,-0.3328,-0.2021,running
0.012,-1.2712,0.2256,-0.1639,running
0.014,-1.131,0.2572,-0.0914,running
0.014,-0.9669,0.106,-0.073,running
0.015,-1.0573,-0.0219,-0.1066,running
0.015,-0.9718,-0.0491,-0.0609,running
0.016,-1.0045,-0.0125,-0.0342,running
0.017,-1.0129,0.0382,0.0131,running
0.018,-1.0338,0.0474,0.035,running
0.019,-0.9828,-0.0081,0.0125,running
0.020,-0.9393,-0.0348,0.0164,running
0.020,-0.9381,-0.0295,0.0011,running
0.022,-0.9758,-0.0065,0.015,running
0.022,-1.0001,0.0195,0.0178,running
0.023,-1.016,0.0105,0.0116,running
0.024,-1.0305,0.0103,0.0081,running
0.025,-0.999,-0.0072,-0.0127,running
0.026,-0.9987,-0.0203,-0.0131,running
0.027,-0.9802,-0.0027,-0.0078,running
0.028,-1.0005,0.0209,0.0104,running
0.030,-1.0007,0.0128,-0.0088,running
0.031,-1.0004,0.0179,-0.0272,running
0.032,-0.9984,-0.0011,-0.0278,running
0.033,-0.9723,0.0015,-0.0383,running
0.034,-0.9984,0.0066,-0.032,running
0.034,-0.9918,0.0121,-0.0238,running
0.035,-1.0186,0.015,-0.0338,running
0.035,-1.0118,0.0161,-0.0302,running
0.036,-1.0001,0.0195,-0.0238,running
0.036,-0.9889,0.0103,-0.0326,running
0.038,-0.999,0.0131,-0.0378,running
0.038,-0.9854,0.0078,-0.041,running
0.039,-0.9891,0.028,-0.0448,running
0.039,-0.9979,0.0334,-0.0376,running
0.041,-0.9806,0.0442,-0.0372,running
0.042,-0.9834,0.0206,-0.0524,running
0.043,-1.014,-0.001,-0.0605,running
0.043,-0.9961,0.032,-0.067,running
0.045,-1.0192,0.0391,-0.056,running
0.045,-1.0004,0.0265,-0.0697,running
0.045,-0.9926,0.0399,-0.0778,running
0.047,-0.9891,0.0265,-0.078,running
0.049,-0.9962,0.043,-0.0804,running
0.049,-0.9954,0.0286,-0.0813,running
0.051,-1.0072,0.0118,-0.1042,running
0.051,-1.0032,0.0062,-0.1176,running
0.054,-1.0153,-0.0066,-0.0901,running
0.054,-1.0007,0.0001,-0.0531,running
0.056,-0.9467,-0.0309,-0.0914,running
0.058,-0.9454,-0.1323,-0.1489,running
0.060,-0.9963,-0.1094,-0.0897,running
0.060,-0.9923,-0.1099,-0.0261,running
0.061,-0.9705,-0.1187,-0.0725,running
0.062,-0.9929,-0.2256,-0.0945,running
0.063,-0.9594,-0.2225,-0.0542,running
0.063,-1.0974,-0.1997,-0.0081,running
0.064,-1.2029,-0.121,0.0779,running
0.065,-1.3154,0.0259,0.1411,running
0.065,-1.167,0.1011,0.2064,running
0.065,-0.8145,0.2087,0.2126,running
0.066,-0.3301,-0.1003,-0.1138,running
0.067,0.2255,-0.8018,-0.3876,running
0.068,-0.9064,-0.2543,-0.3184,running
0.069,-1.8575,0.4253,-0.6295,running
0.069,-1.6648,-0.2953,0.0211,running
0.070,-1.4131,0.0898,-0.1392,running
0.071,-0.8573,0.1168,-0.0642,running
0.071,-0.2362,0.0212,-0.0969,running
0.072,0.5312,-0.1156,0.0867,running
0.072,-0.4652,-0.1051,0.0498,running
0.073,-2.2534,-0.328,0.1267,running
0.074,-1.6058,-0.9694,-0.2321,running
0.074,-1.5393,0.3086,0.3085,running
0.075,-1.4071,0.256,0.1207,running
0.076,-0.8313,0.0613,0.0531,running
0.076,-0.2096,0.0461,-0.0973,running
0.077,-0.275,-0.2217,-0.2114,running
0.078,-0.7384,-0.1151,0.0157,running
0.078,-1.3488,0.0508,-0.1542,running
0.079,-1.6387,0.3654,0.0995,running
0.079,-0.974,0.0681,-0.142,running
0.080,-0.6167,-0.2202,-0.0925,running
0.080,-0.7295,-0.2454,-0.215,running
0.081,-1.1328,0.0609,-0.1833,running
0.082,-1.1519,0.0929,-0.2776,running
0.082,-0.9314,-0.0439,-0.2466,running
0.083,-0.8829,-0.1307,-0.2356,running
0.084,-1.1135,-0.0134,-0.188,running
0.085,-1.0355,-0.134,-0.0874,running
0.085,-0.8496,-0.2974,-0.2494,running
0.086,-0.9221,-0.2527,-0.0884,running
0.086,-1.062,-0.0182,-0.0184,running
0.087,-0.9703,0.0092,-0.0637,running
0.087,-0.9376,0.0747,-0.0872,running
0.088,-1.0238,0.0176,-0.0687,running
0.089,-0.9786,-0.0911,-0.0535,running
0.089,-0.9755,-0.0837,-0.1046,running
0.090,-0.9745,-0.0199,-0.0415,running
0.090,-0.9967,0.0463,-0.0175,running
0.091,-1.0103,0.0037,-0.0166,running
0.091,-1.0038,-0.0627,-0.0251,running
0.093,-1.0276,-0.093,-0.0079,running
0.093,-1.0034,-0.053,0.0029,running
0.130,-1.0133,0.0189,0.0311,running
0.183,-1.0087,0.0208,0.0651,running
0.236,-0.9921,-0.0334,0.0204,running
0.289,-0.9645,-0.1138,-0.0444,running
0.343,-0.9862,-0.1053,-0.0665,running
0.397,-1.0231,-0.0454,-0.0305,running
0.451,-0.9945,-0.0637,-0.0258,running
0.504,-0.9686,-0.2101,-0.0864,running
0.557,-0.9888,-0.1791,-0.0811,running
0.610,-0.96,-0.1124,-0.0199,running
0.664,-0.9686,-0.1307,-0.1229,running
0.717,-1.0085,-0.1788,-0.1711,running
0.769,-0.9393,-0.066,0.0122,running
0.823,-0.7653,0.0715,0.1272,running
0.873,-0.6444,-0.1736,-0.2921,running
0.929,-1.3567,-0.0735,-0.2783,running
0.982,-1.2521,-0.5519,-0.3986,running
1.036,-1.4347,-0.2688,-0.4172,running
1.087,-1.3433,-0.1681,-0.2811,running
1.140,-0.9382,-0.1002,-0.16,running
1.196,-0.5297,-0.0032,-0.0526,running
1.248,0.0972,-0.0619,0.0138,running
1.305,-0.1108,0.1294,-0.1932,running
1.358,-1.3069,-0.1022,0.1216,running
1.412,-2.231,-0.7229,-0.1705,running
1.466,-1.6555,0.0391,0.1403,running
1.519,-1.7347,0.1353,0.2013,running
1.572,-1.288,0.2439,0.2164,running
1.624,-0.6648,-0.0477,-0.0151,running
1.678,0.1687,-0.5385,-0.2255,running
1.733,0.1995,-0.6687,-0.0854,running
1.787,-0.1404,0.1976,-0.1971,running
1.838,-2.674,0.0182,-0.3345,running
1.895,-1.8142,-0.368,0.0724,running
1.947,-2.0222,0.7231,-0.1323,running
2.002,-1.0352,-0.0203,-0.1747,running
2.056,-0.4518,-0.0127,-0.0195,running
2.110,0.3065,0.0675,0.1804,running
2.163,0.2401,-0.4583,-0.2189,running
2.214,-0.4082,0.0564,-0.0763,running
2.269,-3.9886,-0.5039,0.2242,running
2.322,-1.3846,-0.791,0.0054,running
2.371,-1.9985,0.7727,0.3365,running
2.429,-1.437,-0.0524,0.0216,running
2.481,-0.5027,-0.1455,-0.2128,running
2.534,0.4154,-0.6163,-0.3502,running
2.588,0.3507,-0.6608,-0.0991,running
2.640,-0.2032,0.2534,-0.2026,running
2.695,-2.5477,0.2197,-0.2589,running
2.749,-1.9116,-0.0178,0.0024,running
2.802,-1.9281,-0.1006,-0.3347,running
2.856,-1.078,-0.7245,-0.6581,running
2.906,-0.582,0.0288,0.02,running
2.959,-0.0692,0.0305,-0.0133,running
3.014,0.2996,-0.1193,-0.2719,running
3.067,0.3364,-0.025,-0.2805,running
3.121,-2.3663,1.0674,2.0205,running
3.175,-1.2743,-0.9427,-0.4283,running
3.229,-2.1858,-0.0089,0.3333,running
3.283,-1.3905,0.333,0.0448,running
3.336,-0.5502,0.1469,-0.2487,running
3.388,0.0812,-0.3892,-0.4509,running
3.442,0.2695,-0.6223,-0.3239,running
3.496,0.1427,-0.3402,0.1017,running
3.546,-3.4178,0.4474,-0.1945,running
3.604,-2.0812,-0.0741,-0.0096,running
3.656,-2.0363,0.3954,0.0303,running
3.709,-0.9004,-0.5037,-0.2524,running
3.763,-0.0804,-0.0747,0.0808,running
3.816,0.4851,-0.2681,-0.0397,running
3.869,0.3619,-0.0812,-0.1904,running
3.922,-0.5547,0.324,-0.6018,running
3.975,-1.4393,-0.4667,-0.9611,running
4.028,-1.6277,-1.0729,0.1327,running
