timestamp,ax,ay,az
0,-1.3097,-0.0148,0.1621
20,0.0015,-0.3505,0.068
40,0.4525,0.4973,-0.3486
60,0.1348,0.0742,-0.0605
80,0.2328,-0.4098,0.8618
100,-1.2825,-1.3682,0.0516
120,-1.9991,-0.9932,0.368
140,-0.9703,-0.5332,-0.0004
160,-0.2098,0.4047,0.0698
180,-0.2603,-1.5026,1.4889
200,-0.2156,0.5187,0.0669
220,-0.7992,-0.1735,-0.7721
240,-3.6685,-0.4879,-0.4167
260,-0.9954,-1.5526,-0.4687
280,-1.2322,-0.304,0.2246
300,0.166,0.3617,-0.2428
320,0.509,0.6283,-0.246
340,0.3317,0.188,0.3282
360,-0.6555,-1.8763,-1.1791
380,-2.0299,-0.1741,-0.4938
400,-0.6681,-0.463,-0.4366
420,-1.8022,-0.4686,0.3187
440,-0.5442,-0.9194,0.1055
460,-0.127,0.0823,0.6763
480,-0.2548,0.8252,-0.0657
500,-0.0531,-0.1053,0.2675
520,-2.8815,-0.5231,-0.985
540,-1.0485,-1.8344,-0.6113
560,-1.4829,-0.9581,0.1455
580,-1.1328,-0.6949,0.146
600,-0.0658,-0.271,0.009
620,0.39,0.9534,0.2584
640,0.1205,0.061,0.3695
660,-2.1315,-1.8219,-1.4065
680,-0.8309,-0.3258,0.2275
700,-1.4128,-1.3623,-0.1582
720,-1.2733,-0.4845,-0.0135
740,-0.3535,-0.4625,0.0997
760,0.2631,-0.0092,0.8959
780,-0.7051,0.6298,-0.4296
800,-0.0137,-0.1146,0.4873
820,-3.0118,-1.8845,0.3684
840,-1.3947,-1.251,0.5288
860,-1.1152,-0.7454,0.301
880,-0.5101,-0.1273,0.2634
900,0.3226,0.2312,-0.3647
920,0.4369,0.3242,0.168
940,-0.338,-0.1954,1.3374
960,-0.9132,-2.3782,0.5115
980,-1.6,-0.4047,0.3654
1000,-1.2911,-1.2632,0.0099
1020,-0.6069,-0.5535,0.0649
1040,0.0538,-0.0518,0.7926
1060,-0.3767,0.6848,-0.5192
1080,0.1288,0.9243,0.8835
1100,-1.1874,-0.8529,-0.0394
1120,-0.4045,-3.0116,1.004
1140,-1.4221,-1.0112,0.6665
1160,-1.0521,-1.2014,0.3053
1180,-0.5206,-0.3054,0.2505
1200,-0.2065,0.3929,0.0807
1220,0.212,0.8678,0.0673
1240,0.0364,0.0621,0.2562
1260,-3.7157,-3.9995,0.4756
1280,-1.0458,-0.2635,0.3613
1300,-1.4722,-1.2748,0.1938
1320,-1.1323,-0.9236,0.1373
1340,-0.6139,-0.3656,0.22
1360,-0.172,0.6036,0.6528
1380,-0.5773,0.9072,-0.317
1400,0.1063,0.3246,-0.1821
1420,-1.8181,-2.004,-0.349
1440,-1.781,-1.7494,0.0021
1460,-1.2401,-1.3555,0.1407
1480,-0.7639,-0.5524,0.3225
1500,-0.0759,0.0081,-0.2461
1520,0.5447,0.5797,-0.3162
1540,-0.0533,0.246,0.1066
1560,-1.813,-3.2379,-0.3551
1580,-1.2974,-0.224,0.2942
1600,-1.511,-1.2501,0.1143
1620,-1.0134,-1.2224,0.2939
1640,-0.1833,-0.2345,0.0172
1660,0.243,0.0922,0.4741
1680,-0.5508,0.6892,-0.1873
1700,-0.0941,-0.0344,0.4642
1720,-3.454,-2.4218,1.1182
1740,-1.438,-0.9867,0.9983
1760,-0.976,-0.8225,0.2676
1780,-0.5994,0.073,0.0214
1800,0.2622,0.0164,-0.3516
1820,0.5002,0.1567,-0.114
1840,0.3735,-0.0834,0.3658
1860,-3.9995,-3.9995,2.0775
1880,-1.5667,-0.0085,0.222
1900,-1.2361,-1.486,-0.1523
1920,-0.7793,-0.6937,0.4258
1940,-0.1188,0.2535,0.6416
1960,-0.077,0.5841,-0.507
1980,0.2142,0.2566,-0.0289
2000,-2.3793,-0.6385,1.2543
2020,-1.3212,-1.2588,0.9033
2040,-1.2883,-1.0321,0.2253
2060,-0.9952,-0.5153,0.2106
2080,-0.3761,-0.3484,-0.2842
2100,0.3556,0.5295,-0.1554
2120,0.3292,0.4568,0.3799
2140,-1.1433,-1.0032,0.5663
2160,-0.6879,-0.2823,0.7714
2180,-1.7336,-0.7096,0.0864
2200,-1.1219,-1.1818,0.2561
2220,-0.8928,-0.844,0.2717
2240,-0.3204,-0.0162,0.2612
2260,-0.162,0.8719,0.1445
2280,-0.4163,1.1873,-0.1395
2300,-0.34,-1.2684,0.965
2320,-0.9962,-0.9305,0.5045
2340,-1.218,-1.0518,0.0054
2360,-1.1958,-1.0198,0.5267
2380,-0.697,-0.3885,0.15
2400,0.116,0.4916,-0.1218
2420,0.3571,1.1187,0.2999
2440,-0.3818,-0.3551,0.0754
2460,-0.8201,0.8032,0.4352
2480,-1.4095,-0.8851,-0.2766
2500,-1.0366,-1.6558,0.1694
2520,-0.7135,-0.6799,0.3571
2540,-0.2024,0.2092,0.5184
2560,-0.0575,0.9354,-0.0278
2580,-0.1328,0.4365,-0.475
2600,-1.3453,-1.2986,0.6292
2620,-1.2523,-2.9773,-0.2748
2640,-0.6862,-0.8364,0.2812
2660,-0.6162,-0.5343,0.142
2680,-0.7938,-0.3759,0.5016
2700,-0.311,-0.6537,0.0801
2720,-0.5861,-0.1116,0.3981
2740,-0.6753,0.0361,0.296
2760,-1.4994,-0.5602,0.2228
2780,-0.8481,-0.8765,0.7949
2800,-1.0558,-0.2085,0.2079
2820,-0.9165,-0.3698,0.0435
2840,-0.9458,-0.5286,0.1405
2860,-0.84,-0.5022,0.1613
2880,-0.7083,-0.5131,0.0583
2900,-0.804,-0.6134,0.088
2920,-0.8176,-0.4922,0.057
2940,-0.9146,-0.4908,0.0848
2960,-0.9375,-0.4568,0.0852
2980,-0.887,-0.4996,0.0688
3000,-0.8967,-0.5004,0.0967
3020,-0.8267,-0.5959,0.1218
3040,-0.7893,-0.5736,0.0515
3060,-0.8405,-0.4857,0.0902
3080,-0.6561,-0.6182,0.2129
3100,-0.697,-0.5126,0.2838
3120,-0.9868,-0.2274,0.447
3140,-1.0203,-0.2837,0.5623
3160,-0.7928,-0.3041,0.4153
3180,-0.8248,-0.3014,0.5049
3200,-0.8523,-0.3835,0.3885
