timestamp,ax,ay,az
0,-1.7245,-0.5942,0.434
20,-0.9923,-0.2446,0.1497
40,-0.3954,-0.1088,-0.0469
60,0.2902,0.2365,0.1167
80,0.5726,-0.4269,-0.1515
100,-0.6934,-0.274,0.1797
120,-2.9796,-2.1603,0.4933
140,-1.2814,-0.709,-0.0922
160,-1.4126,-0.6655,0.3489
180,-0.649,-0.1217,0.1805
200,0.049,0.0939,0.0825
220,0.2506,0.1736,-0.288
240,-0.5621,0.1305,-0.2709
260,-2.0519,-0.4875,0.5592
280,-1.6344,-1.6569,0.0492
300,-1.4204,-0.2899,0.2279
320,-1.5402,-0.4838,0.0947
340,-0.6284,-0.2203,-0.0334
360,0.4679,-0.2117,0.0321
380,0.4961,-0.3568,0.0769
400,-0.8247,0.0455,-0.0696
420,-3.9995,-1.0906,0.3198
440,-1.8506,0.1973,-0.1178
460,-1.4686,-0.4998,0.0328
480,-0.7285,-0.2671,-0.0607
500,0.2242,-0.0092,0.0675
520,0.5297,0.2203,-0.0154
540,0.4302,-0.2089,-0.149
560,-1.525,-0.0232,0.5988
580,-1.6278,-1.3975,-0.0862
600,-1.7786,0.462,0.3976
620,-1.6418,-0.1178,0.1664
640,-0.6313,-0.163,-0.2054
660,0.58,-0.6085,-0.2891
680,0.432,-0.5494,-0.1274
700,-0.4139,0.2939,0.1104
720,-3.9995,0.6697,0.7095
740,-1.8455,0.2445,-0.0701
760,-1.8877,-0.1404,-0.2917
780,-0.5852,-0.4387,-0.0914
800,0.3025,-0.168,0.1344
820,0.2495,0.0687,-0.0114
840,0.0576,0.062,-0.2151
860,-1.4716,-0.0873,-0.0026
880,-1.7966,-1.177,-0.3369
900,-1.6558,0.3307,0.4736
920,-1.7603,0.4131,0.2463
940,-0.9543,0.2942,0.0258
960,0.0734,-0.4153,-0.2731
980,0.7454,-0.561,-0.4406
1000,-0.0458,-0.3369,0.14
1020,-1.215,0.3942,0.0017
1040,-3.0656,0.2482,-1.0565
1060,-1.8538,0.2017,-0.3678
1080,-1.3789,-0.4006,-0.1241
1100,-0.2914,-0.1714,-0.2261
1120,0.272,-0.0236,0.026
1140,0.5006,0.094,-0.0112
1160,-0.3129,-0.1182,-0.2164
1180,-3.9995,-0.6221,0.9696
1200,-1.5264,-0.7145,-0.0723
1220,-2.0215,0.3888,0.5028
1240,-1.1157,0.1869,0.0902
1260,-0.3918,-0.0598,-0.0979
1280,0.5192,-0.4307,-0.1108
1300,0.4978,-0.7311,-0.025
1320,-0.4343,0.292,-0.1681
1340,-3.9995,0.473,0.4775
1360,-2.1598,0.5171,-0.3538
1380,-1.7343,-0.1377,0.0175
1400,-0.5975,-0.4907,-0.0386
1420,0.2422,-0.1721,0.009
1440,0.2699,0.0101,-0.0299
1460,0.3148,0.0724,0.0096
1480,-2.1323,0.3604,0.1326
1500,-1.5679,-1.2336,-0.1711
1520,-1.5725,0.1982,0.6539
1540,-1.549,0.5728,0.2528
1560,-0.5552,0.1176,-0.2211
1580,0.1638,-0.5189,-0.4185
1600,0.5914,-0.7654,-0.3186
1620,-0.4436,0.3043,0.0885
1640,-2.2361,0.4099,0.6332
1660,-2.2535,0.5778,0.0214
1680,-2.1559,-0.0032,0.1125
1700,-1.1346,-0.615,0.08
1720,0.1583,-0.1819,-0.0831
1740,0.2819,-0.0889,-0.0586
1760,0.1866,0.2501,-0.2435
1780,-0.7615,-0.0922,-0.187
1800,-3.9255,-1.2771,0.1942
1820,-1.7136,-0.6432,-0.041
1840,-1.7002,-0.0881,0.1779
1860,-1.1965,0.2856,0.0349
1880,-0.2006,0.0891,-0.3103
1900,0.6658,-0.6146,-0.0592
1920,0.233,-0.5601,0.0128
1940,-1.142,-0.041,0.2107
1960,-2.6285,0.6407,-1.1058
1980,-1.9325,0.4045,-0.2007
2000,-1.3646,-0.3859,0.0576
2020,-0.4209,-0.173,-0.0618
2040,0.275,0.1824,0.0099
2060,0.4896,0.1609,-0.1036
2080,-0.1743,-0.14,-0.2434
2100,-2.611,0.3594,0.0115
2120,-1.6721,-1.2046,0.079
2140,-1.7164,0.1302,0.2627
2160,-1.4342,0.3209,0.0273
2180,-0.3745,-0.2522,-0.0967
2200,0.1475,-0.2083,-0.0415
2220,0.2274,-0.6381,0.0936
2240,-0.1339,0.2623,0.2174
2260,-3.5785,0.0681,-0.8799
2280,-1.5979,0.0605,-0.0065
2300,-1.964,-0.1937,-0.0719
2320,-0.5393,-0.6699,0.179
2340,0.2291,0.0477,0.2083
2360,0.1469,0.1873,-0.1656
2380,0.2261,-0.1503,-0.0759
2400,-1.0194,0.3131,-0.2841
2420,-1.7332,-1.7134,0.0629
2440,-1.6127,-0.4291,0.3901
2460,-1.6096,0.5129,0.2015
2480,-0.6678,0.0206,-0.2542
2500,-0.1218,-0.324,-0.2661
2520,0.6482,-0.6174,0.1263
2540,0.2007,-0.3895,0.3237
2560,-1.3589,0.1056,0.1561
2580,-3.4093,0.3744,-0.7452
2600,-2.2527,0.1697,-0.2522
2620,-1.1882,-0.4432,0.011
2640,-0.1742,-0.7456,-0.0555
2660,0.3621,-0.0931,-0.1007
2680,0.3202,-0.0076,-0.0276
2700,-0.098,0.1873,-0.384
2720,-3.9995,-0.9562,0.9407
2740,-1.646,-1.3279,0.1498
2760,-1.6846,-0.0947,0.2694
2780,-1.2472,0.0839,0.3069
2800,-0.6594,0.1306,-0.5248
2820,0.5181,-0.3153,-0.063
2840,0.5111,-0.7622,-0.0757
2860,-0.6538,0.4359,-0.0286
2880,-3.9995,0.7064,0.5052
2900,-1.6914,0.391,-0.1509
2920,-1.843,-0.2814,-0.1786
2940,-0.2748,-0.4989,0.1589
